"","LNC","SLA","PLH"
"CBNA_551",25.26504785,21.97262567,27.33931908
"CBNA_554",23.57076431,20.18460338,24.52306603
"CBNA_555",24.22041819,20.14504488,24.57548582
"CBNA_556",24.6510048,20.88814285,22.12479729
"CBNA_562",24.8194299,22.09432886,28.17944468
"CBNA_614",25.17710714,22.2809197,27.74322735
"CBNA_634",25.1338923,22.61594078,29.07062657
"CBNA_703",24.05564917,20.24906498,24.11576542
"CBNA_709",23.19687554,18.79784055,22.35542147
"CBNA_835",25.11657676,22.33447056,29.0771796
"CBNA_907",24.00201044,20.15196715,20.05246957
"CBNA_908",24.43359307,21.4661293,26.62022005
"CBNA_909",23.01644511,18.45086745,20.95070121
"CBNA_912",23.55540831,19.16666925,18.217153
"CBNA_969",24.95752049,21.20164655,22.58668318
"CBNA_1087",24.44689723,23.2063111,31.89281725
"CBNA_1184",23.30783498,23.51214311,38.01571359
"CBNA_1209",23.7692143,21.31930738,25.43564655
"CBNA_1222",23.58205401,24.26027637,35.70994115
"CBNA_1229",23.96520753,23.23884808,39.07363801
"CBNA_1235",24.52005959,23.91584288,35.27393922
"CBNA_1236",23.63344575,23.58784183,36.70251719
"CBNA_1238",23.51056514,24.49422165,35.96967051
"CBNA_1239",23.97065144,23.91159147,35.1363429
"CBNA_1242",24.33698084,23.96234425,34.27128929
"CBNA_1340",24.36205968,24.09247216,35.25581102
"CBNA_1346",24.11995418,23.90954117,35.58432227
"CBNA_1349",24.21338266,23.95275997,34.77423917
"CBNA_1627",24.63539634,23.15078709,35.4805015
"CBNA_1631",24.49469051,23.16399909,35.11740223
"CBNA_1662",24.88048163,22.15594284,36.4497788
"CBNA_1669",26.75620613,22.60314587,32.96813926
"CBNA_382920",23.21833741,16.36317257,13.9586248
"CBNA_382950",23.37032371,16.74751537,11.03698665
"CBNA_382987",24.55355715,20.0720243,22.68249643
"CBNA_383011",24.06789321,17.17685826,10.71214344
"CBNA_383130",21.81562398,16.02426078,10.55676849
"CBNA_383412",23.46356918,19.88927767,20.1192007
"CBNA_383492",23.29196119,18.98550973,17.47250799
"CBNA_388286",23.89363846,17.55377528,15.85911179
"CBNA_388399",23.58603949,16.10752777,9.202143447
"CBNA_388415",23.43052597,17.86035413,16.62140361
"CBNA_388416",23.94343284,18.45907961,19.94895283
"CBNA_388419",23.16593401,15.97161349,11.55474163
"CBNA_388423",23.86214933,16.24660253,11.18434469
"CBNA_388424",23.90015339,16.3644399,10.8707945
"CBNA_388430",23.56305368,16.14770749,11.62487196
"CBNA_388434",24.13045804,16.44427331,10.07252575
"CBNA_388435",23.72941316,16.28427032,9.989814053
"CBNA_388436",23.76102634,16.07663558,11.26184654
"CBNA_388442",23.47799843,16.25799426,9.812689087
"CBNA_388467",23.51250355,16.07514995,8.053619755
"CBNA_388468",23.48218704,16.23070954,8.786547486
"CBNA_388471",23.70851396,15.85941166,9.682332788
"CBNA_388476",23.49139971,16.14735674,10.26692546
"CBNA_388482",23.68119131,16.39552446,8.189786359
"CBNA_388492",24.42064382,16.04940478,9.819631727
"CBNA_388505",24.03155888,16.00892028,8.861472932
"CBNA_388508",25.06654252,16.16465334,10.13969438
"CBNA_388511",25.37063411,16.29133727,8.800995716
"CBNA_388517",24.13939785,16.31244609,12.00830856
"CBNA_388521",23.7946496,16.1445328,11.14894252
"CBNA_388522",23.75486328,16.18842683,10.40032207
"CBNA_388523",23.94142328,15.87650727,11.44195046
"CBNA_388525",24.45795788,16.02967775,8.495243397
"CBNA_388526",24.49762304,16.05671734,8.406092922
"CBNA_388527",23.85168323,15.88560834,10.92867554
"CBNA_388528",24.01268478,16.29633569,11.46601062
"CBNA_388532",23.8192888,16.25548102,8.576970113
"CBNA_388540",23.34459678,16.13614734,12.63651889
"CBNA_388545",23.30169892,16.66792478,11.37030469
"CBNA_388549",23.3541309,15.90120249,10.63692029
"CBNA_388550",23.5976816,15.81701729,10.20739735
"CBNA_388553",23.93513438,16.10575021,9.24046543
"CBNA_388559",23.24982683,17.03749703,11.49118104
"CBNA_388647",23.79066525,18.75678374,18.61825087
"CBNA_389529",23.74245462,16.11367843,11.73875257
"CBNA_389533",23.86984054,18.52131452,19.57262713
"CBNA_389569",23.64052637,17.83764621,13.48331367
"CBNA_389573",23.60108989,16.38683262,9.019631549
"CBNA_389574",23.99081652,16.85693315,9.411087792
"CBNA_389577",23.3902081,16.26019359,9.270995309
"CBNA_389587",23.7621345,15.73508897,10.48837862
"CBNA_389589",23.8013746,15.80399513,10.72475793
"CBNA_389594",24.07645772,17.8267204,13.66055397
"CBNA_389598",24.12715916,15.96998489,8.484276017
"CBNA_389599",23.56369475,16.48436287,8.695572469
"CBNA_389609",23.94230078,16.27960497,9.397462352
"CBNA_389611",23.58977298,16.46386021,10.12828574
"CBNA_389612",24.59707771,16.34748913,10.73705573
"CBNA_389613",23.57793047,16.53751267,10.75289632
"CBNA_389620",23.87641948,17.76123227,14.57408592
"CBNA_389621",23.16026824,16.37837229,10.1528031
"CBNA_389624",23.74413326,16.73613141,8.188855959
"CBNA_389626",23.54416662,17.63536945,13.5362522
"CBNA_389634",23.6189236,16.14604661,9.773323851
"CBNA_389635",23.9155146,15.61218005,8.500044123
"CBNA_389637",24.26851313,15.80820347,8.401219211
"CBNA_389638",24.23207155,15.77552379,8.506831467
"CBNA_389641",23.24494013,16.07832667,12.56365532
"CBNA_389642",23.85420286,17.12657311,10.82385677
"CBNA_389647",23.78631368,16.86828906,8.516595967
"CBNA_389655",23.54683801,16.46676259,12.07956933
"CBNA_389666",23.65351501,16.64957299,9.577837598
"CBNA_389673",23.80479302,16.35180541,10.50546351
"CBNA_389674",23.70125636,17.44676864,11.27147233
"CBNA_389692",23.79661814,17.21497726,15.60831431
"CBNA_389693",23.14280611,17.29873078,14.12159186
"CBNA_389700",24.20341081,16.38391234,10.7365658
"CBNA_389705",24.14350618,16.49324254,10.1427355
"CBNA_389707",23.85916214,16.72155276,10.27956619
"CBNA_389723",23.70011848,16.39821017,10.97660481
"CBNA_389729",24.29771419,17.57686759,12.11421978
"CBNA_389737",24.00615766,16.17658284,9.792482342
"CBNA_389739",23.9425095,15.92878229,9.178769736
"CBNA_389742",23.99615493,17.01637505,12.39179243
"CBNA_389745",23.60338075,17.03660187,11.35914498
"CBNA_389748",23.92168947,16.44311399,11.18140079
"CBNA_389751",23.66064004,16.37110829,11.10525976
"CBNA_389757",23.24257591,16.15609126,13.07232619
"CBNA_389762",23.98839613,16.59818502,10.03327689
"CBNA_389763",23.872188,16.37092963,10.15948713
"CBNA_389768",23.5695353,16.30870377,11.985825
"CBNA_389769",24.49747948,17.27468651,14.25108003
"CBNA_389770",23.99391548,17.58966602,14.40298161
"CBNA_389775",23.85044671,16.59672092,11.24700817
"CBNA_389784",23.58412378,16.27265243,9.655744976
"CBNA_389785",23.76323545,16.63631527,10.34882439
"CBNA_389789",24.24094928,15.72444289,7.542927623
"CBNA_389793",23.37494939,15.73299723,8.879706387
"CBNA_389795",24.68928144,15.5409815,6.843690347
"CBNA_389796",24.2153843,15.61616097,7.460521015
"CBNA_389798",24.12407005,15.74837126,7.901793306
"CBNA_389800",24.22313582,15.66387235,8.192480745
"CBNA_389801",24.22504834,15.80910188,8.551641393
"CBNA_389805",23.76636103,15.14119368,6.706504282
"CBNA_389809",23.42227703,14.82794744,7.497012122
"CBNA_389810",23.90430639,15.50990421,6.998948793
"CBNA_389812",23.38922123,15.82888234,9.149903796
"CBNA_389813",23.80725813,15.379325,7.800645101
"CBNA_389815",24.44804602,16.1170528,7.818807482
"CBNA_389819",23.92412338,15.4662073,8.458658562
"CBNA_389820",23.72707762,15.95748104,9.593101484
"CBNA_389821",23.72707762,15.95748104,9.593101484
"CBNA_389825",23.7902977,16.1853524,9.040596479
"CBNA_389828",23.97182582,15.92069862,9.149835822
"CBNA_389829",23.28299932,15.54549477,9.361656867
"CBNA_389834",23.20300689,15.69744669,10.7112005
"CBNA_389836",23.63928651,15.70146701,7.925582787
"CBNA_389840",23.77570077,14.92334333,7.575764768
"CBNA_389845",24.39623882,15.62975746,7.109442644
"CBNA_389846",23.95742553,15.96156268,7.915323306
"CBNA_389847",23.99876946,16.31274032,9.237245048
"CBNA_389848",23.6050411,15.76880879,7.995269692
"CBNA_389849",23.33840656,15.67902648,7.705842574
"CBNA_389850",24.09208003,15.54431271,7.939261928
"CBNA_389851",23.90771299,15.53997845,8.11622662
"CBNA_389852",23.53718278,15.97763653,9.567269327
"CBNA_389853",24.21140864,15.97001312,10.25861406
"CBNA_389854",24.60021542,16.12905248,9.124809126
"CBNA_389855",23.64056879,15.84748594,10.27989279
"CBNA_389856",24.31904623,16.02209369,9.596275436
"CBNA_389857",24.36644291,16.12104821,9.055308397
"CBNA_389859",23.94382052,15.65397179,7.916820317
"CBNA_389879",23.54483277,15.86971911,13.37851322
"CBNA_389888",23.8978236,17.92833957,15.7034363
"CBNA_389892",24.21549529,18.74354466,16.28850156
"CBNA_389898",24.19461988,18.02441885,15.81813849
"CBNA_389900",23.21204732,16.81114784,15.23699275
"CBNA_389905",23.17857942,16.92920998,15.2251151
"CBNA_389911",23.76477472,17.22601223,15.99999102
"CBNA_389912",24.09279224,18.00040025,17.88131559
"CBNA_389914",23.96399489,15.90040092,8.995016098
"CBNA_389917",23.69559149,16.21936988,10.04835875
"CBNA_389919",23.59235721,16.35299438,9.822269081
"CBNA_389924",24.17861094,16.28379587,9.334481767
"CBNA_389925",23.75809609,16.25031679,8.730746953
"CBNA_389928",24.20671221,18.25130797,18.56945464
"CBNA_389930",23.63798682,17.62336786,15.35006753
"CBNA_389931",23.63798682,17.62336786,15.35006753
"CBNA_389932",23.78252133,16.01456819,11.80343528
"CBNA_389933",24.18199837,16.31376081,12.59513917
"CBNA_389934",23.86090152,15.86636856,11.21389679
"CBNA_389935",23.56805987,15.67349338,12.33760997
"CBNA_389938",23.86331821,16.72599159,14.09837741
"CBNA_389943",23.58545415,17.60695427,15.39764776
"CBNA_389948",23.09216139,17.64539706,18.45534875
"CBNA_389949",23.09216139,17.64539706,18.45534875
"CBNA_389950",23.26762969,16.65003684,15.21887932
"CBNA_389951",23.57724243,17.2150465,15.89692532
"CBNA_389954",23.71807611,16.33394549,10.54414618
"CBNA_389958",23.54202818,18.88192417,18.03677984
"CBNA_389965",23.83845767,17.50197464,15.50561647
"CBNA_389966",23.78936127,17.36361115,14.31165392
"CBNA_389967",23.40346743,16.41304572,14.7771985
"CBNA_389977",23.79103314,19.47479472,18.69510443
"CBNA_389980",24.38113116,19.18463978,19.60467696
"CBNA_389982",23.60418984,18.37904135,18.56525763
"CBNA_389983",23.11283518,17.10070456,12.45156282
"CBNA_389989",23.3193627,16.06629561,10.63789402
"CBNA_389990",23.17964401,16.11625879,9.450980955
"CBNA_389991",22.8432118,15.58996491,10.50435714
"CBNA_389994",22.62967923,15.85770341,9.338986186
"CBNA_389996",23.77226495,16.5142353,9.575840913
"CBNA_389997",24.59954637,16.44584686,8.744430236
"CBNA_389999",22.99032465,15.93046555,11.30449997
"CBNA_390001",23.12372269,15.92210408,10.21562866
"CBNA_390004",23.60467999,17.29128742,12.36786144
"CBNA_390006",22.91261264,15.95952683,10.16617637
"CBNA_390007",23.02395975,16.15798437,10.44632217
"CBNA_390008",23.20732612,16.24494516,10.5350838
"CBNA_390009",23.47863159,15.68583613,8.307217654
"CBNA_390018",23.26559713,15.89676104,9.153816917
"CBNA_390019",24.35844634,16.45770024,10.09819528
"CBNA_390020",24.14289934,16.1764601,9.172103827
"CBNA_390022",24.47489371,16.04505497,9.097685298
"CBNA_390024",23.34534013,16.15940268,9.30534191
"CBNA_390028",23.29939744,15.90805208,8.824428713
"CBNA_390030",22.89165695,15.93512242,10.10300192
"CBNA_390034",23.35666796,16.04248439,10.36245891
"CBNA_390045",23.47991471,17.5670555,14.24582903
"CBNA_390047",23.67618371,16.08012299,11.22122992
"CBNA_390049",23.41788913,15.86130222,8.944591704
"CBNA_390053",23.74843703,15.89078806,11.5492978
"CBNA_390058",23.08224375,15.78688953,10.14356288
"CBNA_390071",23.09747455,15.77444659,8.33487718
"CBNA_390072",23.55649684,16.00850453,11.24226659
"CBNA_390075",23.46259544,16.39688129,8.527882598
"CBNA_390079",23.94789572,16.2323973,8.407889497
"CBNA_390080",23.04487701,16.06195754,9.185986244
"CBNA_390081",23.65009806,15.85859182,8.824214374
"CBNA_390085",23.69840086,16.19728917,11.26065881
"CBNA_390088",24.25262004,16.31430755,10.95271147
"CBNA_390153",23.91968208,17.76883378,17.20729339
"CBNA_390154",23.71317598,17.39694049,17.91044308
"CBNA_390159",23.39610385,16.94338391,9.353459148
"CBNA_390160",23.79029373,16.83979838,9.304793607
"CBNA_390161",23.85820579,16.78830409,10.1712467
"CBNA_390164",23.30922,17.0882884,10.01018827
"CBNA_390174",24.02336178,17.07431205,13.28525523
"CBNA_390178",23.48426048,17.54745397,18.28751239
"CBNA_390179",23.5311156,16.66606328,13.7550522
"CBNA_390180",23.95935457,17.35051746,13.24049857
"CBNA_390182",23.75338477,17.11771192,13.88051603
"CBNA_390184",23.77972106,17.37885636,12.96828229
"CBNA_390186",23.70327557,16.76834164,13.12554339
"CBNA_390190",23.28289751,16.38363774,12.47370704
"CBNA_390191",23.60886998,16.44537505,12.1258373
"CBNA_390192",23.4016505,16.59117641,11.61378311
"CBNA_390199",24.01609096,17.20380982,11.49268811
"CBNA_390205",24.03838243,19.44288874,22.30444209
"CBNA_390229",24.14626616,18.20256997,16.9979584
"CBNA_390234",23.74944406,16.92658357,10.06808745
"CBNA_390235",23.56517684,16.70336803,10.31888179
"CBNA_390245",24.10542481,16.06661206,9.136879817
"CBNA_390261",23.38868936,16.22160673,8.320228994
"CBNA_390262",23.49393091,16.3206403,10.51729383
"CBNA_390263",23.49518086,15.74141243,8.457002195
"CBNA_390264",24.8639899,21.31703891,27.57262056
"CBNA_390277",24.46471426,20.56827005,25.48967099
"CBNA_390291",24.05266209,20.58302664,25.57440026
"CBNA_390301",24.06241252,20.79164001,25.77045637
"CBNA_390311",23.7614538,18.01159903,18.56644532
"CBNA_390312",23.98726872,17.16331521,17.83330182
"CBNA_390314",24.50280407,20.28962924,24.1874584
"CBNA_390321",24.26406101,18.26970359,20.83723275
"CBNA_390323",23.90790681,18.81729766,19.22163086
"CBNA_390325",23.67629813,16.47004968,10.84290338
"CBNA_390326",24.59198591,19.73669609,22.88279238
"CBNA_390327",24.19092914,19.84171422,21.84383443
"CBNA_390328",24.10503034,19.40913912,22.91362055
"CBNA_390331",23.59835393,17.26401516,16.12413495
"CBNA_390336",23.7548186,16.04653328,9.005822984
"CBNA_390343",23.72073184,16.73583646,12.42781127
"CBNA_390354",23.54254565,18.64222314,18.17524832
"CBNA_390355",24.14661626,19.49952455,19.74542143
"CBNA_390360",23.31343669,16.7762548,12.14759522
"CBNA_390361",23.76857381,16.91496666,12.54881275
"CBNA_390364",23.74010962,18.2297158,17.11211398
"CBNA_390380",24.50773258,20.61919174,24.26855153
"CBNA_390421",22.99097726,16.68566419,16.73786623
"CBNA_390422",22.93887385,17.15708371,16.0923761
"CBNA_390423",22.65922013,16.93522485,15.25026281
"CBNA_390426",22.99692205,17.40579736,17.42917311
"CBNA_390433",24.24622499,19.54861531,19.68061864
"CBNA_390438",23.65043859,16.95780891,12.55480319
"CBNA_390441",23.4962801,16.48413695,11.79215719
"CBNA_390443",24.3113608,17.10658199,12.84236688
"CBNA_390444",24.13431189,17.31379056,13.74523692
"CBNA_390449",23.78285763,16.16362835,9.618359028
"CBNA_390450",24.33958153,16.58406461,12.79529489
"CBNA_390452",23.12671627,16.33288779,10.29439324
"CBNA_390454",23.57366149,16.53534096,12.44635563
"CBNA_390455",24.00042348,16.49384445,12.27659471
