"","LNC","SLA","PLH"
"CBNA_551",21.4785585394005,24.780933006674,23.2622920900575
"CBNA_554",31.041365900303,17.2898828385036,17.1583090890844
"CBNA_555",20.8676058078662,24.2201207493212,21.7480098491039
"CBNA_556",21.6119280710231,18.3222386458028,23.8110205659487
"CBNA_562",27.6187493772184,26.1699640007628,17.7537384608361
"CBNA_614",29.1545081127531,25.8221537642226,22.4568138439438
"CBNA_634",21.3250293620549,23.4572448706312,24.9115593625321
"CBNA_703",20.2924615228327,16.7774148053276,21.3319250447904
"CBNA_709",26.2697924803654,12.0884605497987,12.5913805738621
"CBNA_835",22.882973232602,16.9322948953477,30.2408189922434
"CBNA_907",30.3717086246317,22.9592355243738,27.5768787083168
"CBNA_908",25.1342391422515,23.8850475053182,20.3351344358753
"CBNA_909",17.6417101031428,13.7566309386338,20.6569241096085
"CBNA_912",26.709871030005,27.7120383757124,31.8344846021454
"CBNA_969",26.3367137490489,25.2594328223864,22.7789281602317
"CBNA_1087",27.5234323325805,16.5578131779802,34.1530578784172
"CBNA_1184",20.4003431129298,21.0462807294386,37.9963601101031
"CBNA_1209",24.4981245820254,24.767442313505,17.8738631047158
"CBNA_1222",21.6487437323301,21.3654594519008,34.3182183421295
"CBNA_1229",24.4785799789409,21.4174977756314,42.2307905617784
"CBNA_1235",26.9789359220264,27.2013246965525,37.4980486096294
"CBNA_1236",24.1358744840021,18.4752067945601,39.3505785717674
"CBNA_1238",19.6558732218958,24.1217248127425,35.0857919609695
"CBNA_1239",20.4392325545107,20.9242153818769,39.4200877191439
"CBNA_1242",23.769685023762,22.0376658967893,36.1633360609899
"CBNA_1340",24.6039410999184,19.2591404458191,41.3958046816682
"CBNA_1346",29.4905107690413,28.3736162205105,23.0880622874656
"CBNA_1349",25.7983451035351,23.5341792606625,45.7543290206801
"CBNA_1627",30.6974720646174,18.0565747126811,23.8944721128837
"CBNA_1631",23.1671568845374,21.6578518553798,39.7698667501879
"CBNA_1662",28.3154951815564,27.0602963575267,21.6810213015828
"CBNA_1669",21.9797799421699,28.1111505772926,33.723484384989
"CBNA_382920",24.6375354476607,15.9955299126983,16.3980990540949
"CBNA_382950",24.6057145458209,20.7075992278493,10.308944954472
"CBNA_382987",25.1620843470388,26.6955803578179,27.7051832028763
"CBNA_383011",23.2715124092932,12.9577884332183,8.98340916041586
"CBNA_383130",28.7191169893818,20.6398453774234,2.5249567469778
