"","SR"
"CBNA_551",26.23354286
"CBNA_554",28.64476825
"CBNA_555",29.21786825
"CBNA_556",30.42843651
"CBNA_562",27.11905794
"CBNA_614",26.60017619
"CBNA_634",24.33690714
"CBNA_703",28.08635317
"CBNA_709",30.81019762
"CBNA_835",24.80644286
"CBNA_907",32.81557937
"CBNA_908",32.59673651
"CBNA_909",31.1554754
"CBNA_912",34.32517857
"CBNA_969",28.03176905
"CBNA_1087",33.7708754
"CBNA_1184",27.71365397
"CBNA_1209",26.09011905
"CBNA_1222",30.10282143
"CBNA_1229",27.30251429
"CBNA_1235",27.09049762
"CBNA_1236",26.83539841
"CBNA_1238",27.44294841
"CBNA_1239",28.59242937
"CBNA_1242",28.15223175
"CBNA_1340",27.67987937
"CBNA_1346",28.44610159
"CBNA_1349",27.45782857
"CBNA_1627",24.27249603
"CBNA_1631",30.1554873
"CBNA_1662",26.0502746
"CBNA_1669",16.63986349
"CBNA_382920",28.40576508
"CBNA_382950",24.75969683
"CBNA_382987",30.85446587
"CBNA_383011",27.01279921
"CBNA_383130",19.60400635
"CBNA_383412",27.87920238
"CBNA_383492",29.09378175
"CBNA_388286",27.54953095
"CBNA_388399",24.89867222
"CBNA_388415",29.1408
"CBNA_388416",29.4036373
"CBNA_388419",28.26610238
"CBNA_388423",28.08570159
"CBNA_388424",28.67961349
"CBNA_388430",31.55053968
"CBNA_388434",22.88051984
"CBNA_388435",27.35545714
"CBNA_388436",29.83061746
"CBNA_388442",25.31046032
"CBNA_388467",24.79197857
"CBNA_388468",18.09595794
"CBNA_388471",26.07309286
"CBNA_388476",28.0838754
"CBNA_388482",20.4326246
"CBNA_388492",25.18632857
"CBNA_388505",23.07137698
"CBNA_388508",27.82657778
"CBNA_388511",25.50565397
"CBNA_388517",29.83814603
"CBNA_388521",31.61682302
"CBNA_388522",30.35861111
"CBNA_388523",32.06220476
"CBNA_388525",23.56678889
"CBNA_388526",20.30493413
"CBNA_388527",27.19957143
"CBNA_388528",26.83468413
"CBNA_388532",19.23922937
"CBNA_388540",30.7298627
"CBNA_388545",29.67832302
"CBNA_388549",27.17348413
"CBNA_388550",27.37755317
"CBNA_388553",26.67401905
"CBNA_388559",29.70204365
"CBNA_388647",28.0707746
"CBNA_389529",25.93860556
"CBNA_389533",28.46514365
"CBNA_389569",24.9359246
"CBNA_389573",25.47287302
"CBNA_389574",20.32260556
"CBNA_389577",24.06733254
"CBNA_389587",27.54943333
"CBNA_389589",27.77715635
"CBNA_389594",20.15307857
"CBNA_389598",23.2148246
"CBNA_389599",22.63588254
"CBNA_389609",23.48485476
"CBNA_389611",21.70718095
"CBNA_389612",24.57923254
"CBNA_389613",25.23271667
"CBNA_389620",23.55356984
