"","SR"
"CBNA_551",15.0209197579957
"CBNA_554",34.5567863810568
"CBNA_555",32.7357966509699
"CBNA_556",31.0062709062696
"CBNA_562",12.9281441914171
"CBNA_614",21.7136778305899
"CBNA_634",17.2511296395026
"CBNA_703",26.8233206091954
"CBNA_709",18.4359134191305
"CBNA_835",30.8892353070029
"CBNA_907",28.5374752804181
"CBNA_908",53.3596981160112
"CBNA_909",34.82976139611
"CBNA_912",30.6363883551578
"CBNA_969",44.6095631280414
"CBNA_1087",29.4727753075448
"CBNA_1184",28.2706173179212
"CBNA_1209",23.082007290369
"CBNA_1222",20.9301726619551
"CBNA_1229",30.2586410361076
"CBNA_1235",25.0717233733556
"CBNA_1236",35.0764167652433
"CBNA_1238",23.0964888384332
"CBNA_1239",33.8998192116325
"CBNA_1242",30.9457853873073
"CBNA_1340",24.2311902465651
"CBNA_1346",25.9526657477274
"CBNA_1349",30.460313071191
"CBNA_1627",25.5957216783082
"CBNA_1631",51.5723991584021
"CBNA_1662",53.5418486524665
"CBNA_1669",19.5332307584651
"CBNA_382920",38.0688797924677
"CBNA_382950",26.7640298764698
"CBNA_382987",26.4007249349714
"CBNA_383011",19.2180736662514
"CBNA_383130",15.5695778364186
"CBNA_383412",22.3647803271103
"CBNA_383492",14.8786177310206
"CBNA_388286",36.3762933370667
"CBNA_388399",12.8784479992157
"CBNA_388415",32.5328509602313
"CBNA_388416",30.4528266071383
"CBNA_388419",30.0015807608142
"CBNA_388423",32.14439648638
"CBNA_388424",27.6460671499462
"CBNA_388430",18.0427082141302
"CBNA_388434",29.4931724611305
"CBNA_388435",15.1969767950421
"CBNA_388436",31.0314660387519
"CBNA_388442",24.0514668243181
"CBNA_388467",17.9308805005919
"CBNA_388468",19.7455411817824
"CBNA_388471",28.2920517785077
"CBNA_388476",19.4408566579621
"CBNA_388482",15.7170759429574
"CBNA_388492",35.8622721602246
"CBNA_388505",21.0132342155716
"CBNA_388508",26.9287740489971
"CBNA_388511",19.7590357680865
"CBNA_388517",40.8280554476269
"CBNA_388521",29.1849294228022
"CBNA_388522",33.531563315161
"CBNA_388523",36.5149497841357
"CBNA_388525",24.8784022504615
"CBNA_388526",23.0754330793658
"CBNA_388527",19.7879469166736
"CBNA_388528",20.4949314468631
"CBNA_388532",30.1235597889707
"CBNA_388540",26.6003984779832
"CBNA_388545",37.1336045938742
"CBNA_388549",29.7135492701419
"CBNA_388550",39.3793068879599
"CBNA_388553",34.8259748731049
"CBNA_388559",25.9067774600801
"CBNA_388647",10.2126392853474
"CBNA_389529",4.85632063728231
"CBNA_389533",22.2987006239337
"CBNA_389569",9.18965169994499
"CBNA_389573",21.8868316080424
"CBNA_389574",13.1503163720489
"CBNA_389577",18.2687008713964
"CBNA_389587",7.05205277356256
"CBNA_389589",26.8171531819483
"CBNA_389594",21.8396718250338
"CBNA_389598",6.73393851447137
"CBNA_389599",14.1379327711284
"CBNA_389609",18.5347748138635
"CBNA_389611",36.027202002211
"CBNA_389612",24.587780595739
"CBNA_389613",12.6204523119876
"CBNA_389620",25.7848891640294
"CBNA_389621",25.7537680623484
"CBNA_389624",29.8955536540851
"CBNA_389626",21.8059938662241
"CBNA_389634",19.7259731983982
"CBNA_389635",28.3754696666701
"CBNA_389637",4.54812061487816
"CBNA_389638",9.04677992898049
"CBNA_389641",29.1048310154744
"CBNA_389642",27.7370789226152
"CBNA_389647",27.0253939393025
"CBNA_389655",8.37751984578823
"CBNA_389666",31.5699163928257
"CBNA_389673",28.7871996210495
"CBNA_389674",27.7222288173496
"CBNA_389692",16.5299411744715
"CBNA_389693",26.8159792194664
"CBNA_389700",15.8984423480756
"CBNA_389705",24.7830725298524
"CBNA_389707",11.1301105210147
"CBNA_389723",16.6145007631646
"CBNA_389729",5.39321125117944
"CBNA_389737",17.2961519956222
"CBNA_389739",27.4068601004491
"CBNA_389742",36.85047044434
"CBNA_389745",28.0311878822448
"CBNA_389748",21.0881797152721
"CBNA_389751",17.2512809609046
"CBNA_389757",11.6397638218785
"CBNA_389762",23.8879792731267
"CBNA_389763",24.022285454725
"CBNA_389768",30.6384114524197
"CBNA_389769",35.1973237256031
"CBNA_389770",27.541644513373
"CBNA_389775",14.485894702744
"CBNA_389784",32.5426264849307
"CBNA_389785",31.1297265915562
"CBNA_389789",22.4711280484101
"CBNA_389793",21.2789704980925
"CBNA_389795",20.9835734694814
"CBNA_389796",19.7092827756105
"CBNA_389798",20.2335790305138
"CBNA_389800",18.3710493889946
"CBNA_389801",29.5761756340358
"CBNA_389805",10.9276007671034
"CBNA_389809",29.5404032718471
"CBNA_389810",14.2155925367239
"CBNA_389812",9.29201618844885
"CBNA_389813",20.8756817189618
"CBNA_389815",19.057347799291
"CBNA_389819",27.6545698629616
"CBNA_389820",17.5207911566853
"CBNA_389821",20.0878587178429
"CBNA_389825",16.4771797814329
"CBNA_389828",18.8134825243021
"CBNA_389829",5.60485864402738
"CBNA_389834",20.945502352203
"CBNA_389836",5.23009736274869
"CBNA_389840",13.6079124292769
"CBNA_389845",18.590341335051
"CBNA_389846",21.3508292703183
"CBNA_389847",12.8635226606967
"CBNA_389848",40.7809028189988
"CBNA_389849",21.9336530803475
"CBNA_389850",17.9624721807711
"CBNA_389851",17.0038452161547
"CBNA_389852",10.6809609377095
"CBNA_389853",33.4225262311677
"CBNA_389854",22.5227542111904
"CBNA_389855",17.1460784282218
"CBNA_389856",13.1066504830137
"CBNA_389857",31.539383776601
"CBNA_389859",16.1094539337631
"CBNA_389879",24.5308708822481
"CBNA_389888",40.1017237505214
"CBNA_389892",24.5901236342218
"CBNA_389898",19.306012068332
"CBNA_389900",48.8191166193285
"CBNA_389905",21.0511644047079
"CBNA_389911",20.8243728905552
"CBNA_389912",15.9996603355074
"CBNA_389914",25.260950281023
"CBNA_389917",33.4196189444676
"CBNA_389919",20.726502670631
"CBNA_389924",25.8840046749299
"CBNA_389925",18.580502796184
"CBNA_389928",26.9038533209207
"CBNA_389930",16.3856011129282
"CBNA_389931",30.484234097829
"CBNA_389932",23.9261365706468
"CBNA_389933",15.3662950729784
"CBNA_389934",13.4113820756788
"CBNA_389935",18.9937328047294
"CBNA_389938",29.9121946985631
"CBNA_389943",17.4372539413223
"CBNA_389948",30.0567058678791
"CBNA_389949",24.4305466482847
"CBNA_389950",36.5193486876662
"CBNA_389951",28.2319805136236
"CBNA_389954",33.2100883147
"CBNA_389958",24.7986756875883
"CBNA_389965",36.3972106037707
"CBNA_389966",44.1087355644301
"CBNA_389967",28.248348139037
"CBNA_389977",15.9029571765274
"CBNA_389980",18.7052883612287
"CBNA_389982",14.9986043951913
"CBNA_389983",19.1459419919676
"CBNA_389989",29.7508832802397
"CBNA_389990",28.5561944748611
"CBNA_389991",18.4732035097206
"CBNA_389994",14.318814430043
"CBNA_389996",35.127507773795
"CBNA_389997",26.3192297069952
"CBNA_389999",25.7439184238684
"CBNA_390001",17.4326967776007
"CBNA_390004",21.4291906940912
"CBNA_390006",30.6027210424673
"CBNA_390007",32.1570091517409
"CBNA_390008",14.3518768661128
"CBNA_390009",23.0979524809133
"CBNA_390018",28.9359631468238
"CBNA_390019",32.9283705713021
"CBNA_390020",5.99548558430375
"CBNA_390022",37.6130891875992
"CBNA_390024",17.4026862714216
"CBNA_390028",21.3519748863168
"CBNA_390030",31.3839053830174
"CBNA_390034",23.3272760125226
"CBNA_390045",11.438194086981
"CBNA_390047",21.7310782261794
"CBNA_390049",16.8224021425507
"CBNA_390053",34.0651711909734
"CBNA_390058",14.2148234130803
"CBNA_390071",25.009680643008
"CBNA_390072",29.8877091525373
"CBNA_390075",17.3573728851341
"CBNA_390079",26.8567807967227
"CBNA_390080",23.8699485030334
"CBNA_390081",8.54236123170022
"CBNA_390085",28.3733074743138
"CBNA_390088",20.4282832640101
"CBNA_390153",37.0725415777779
"CBNA_390154",35.9918584408136
"CBNA_390159",22.745577366738
"CBNA_390160",14.1492473088816
"CBNA_390161",33.1969218725698
