"","ID","fold","lon","lat"
"CBNA_551","CBNA_551",3,6.765423766,44.66740389
"CBNA_554","CBNA_554",4,5.839274997,44.800392
"CBNA_555","CBNA_555",4,5.839172997,44.800748
"CBNA_556","CBNA_556",4,5.838720002,44.800993
"CBNA_562","CBNA_562",2,6.765863903,44.66727146
"CBNA_614","CBNA_614",3,6.75782672,44.66796528
"CBNA_634","CBNA_634",4,6.756812149,44.66742004
"CBNA_703","CBNA_703",4,5.840902002,44.80904
"CBNA_709","CBNA_709",1,5.837802004,44.808465
"CBNA_835","CBNA_835",3,6.75849431,44.66816917
"CBNA_907","CBNA_907",1,5.839972,44.796837
"CBNA_908","CBNA_908",1,5.839821002,44.796485
"CBNA_909","CBNA_909",1,5.839622002,44.794722
"CBNA_912","CBNA_912",2,5.838250998,44.793522
"CBNA_969","CBNA_969",1,5.832887997,44.791237
"CBNA_1087","CBNA_1087",4,5.775268041,46.21116702
"CBNA_1184","CBNA_1184",4,5.708396003,45.392581
"CBNA_1209","CBNA_1209",4,5.630291959,44.15030402
"CBNA_1222","CBNA_1222",4,5.706647001,45.393036
"CBNA_1229","CBNA_1229",1,5.706785999,45.394611
"CBNA_1235","CBNA_1235",1,5.703931997,45.392411
"CBNA_1236","CBNA_1236",1,5.704113999,45.392033
"CBNA_1238","CBNA_1238",1,5.704301999,45.391868
"CBNA_1239","CBNA_1239",4,5.704685003,45.391764
"CBNA_1242","CBNA_1242",1,5.704660998,45.392175
"CBNA_1340","CBNA_1340",2,5.695889,45.384364
"CBNA_1346","CBNA_1346",3,5.695051004,45.383528
"CBNA_1349","CBNA_1349",2,5.695854997,45.383108
"CBNA_1627","CBNA_1627",4,6.262731025,44.54740998
"CBNA_1631","CBNA_1631",1,6.267374012,44.55241204
"CBNA_1662","CBNA_1662",1,5.987485006,44.56218403
"CBNA_1669","CBNA_1669",4,6.18064701,44.63236996
"CBNA_382920","CBNA_382920",2,6.524596869,44.30889703
"CBNA_382950","CBNA_382950",4,6.499486251,44.29657616
"CBNA_382987","CBNA_382987",4,6.520024711,44.31538586
