Taxa,LNC,SLA,PLH
Aceras.anthropophorum,,32.01,15
Achillea.collina,24.40992753,19.12,56
Achillea.millefolium,22.91,16.09653956,20.31616177
Achillea.nana,25.45800447,15.29841123,2.549342105
Achillea.roseo.alba,,,43.66666667
Achnatherum.calamagrostis,10.02099097,,56.76
Acinos.alpinus,15.65424601,14.48512987,15.20370371
Acinos.arvensis,,18.38125,20
Aconitum.lycoctonum,28.21435531,25.87,
Cacalia.leucophylla,51.92930698,,
Aegopodium.podagraria,26.17831945,26.89,56
Agrimonia.eupatoria,17.62912244,19.60125,33.33333333
Agrostis.alpina,19.23119545,,7.93269231
Agrostis.capillaris,23,39.09299139,21.08457917
Agrostis.rupestris,,9.95,5
Agrostis.agrostiflora,,,25
Agrostis.stolonifera,19.56881091,27.07875,58.65889
Ajuga.chamaepitys,12.32873599,22.48,9.333333333
Ajuga.genevensis,18.27795267,25.825,19
Ajuga.pyramidalis,,20.09,15
Ajuga.reptans,13.63019228,36.425,15.80059524
Alchemilla.alpina,20.37028695,19.29622136,7.952085107
Alchemilla.xanthochlora,24.0575,19.64832598,11.11609477
Allium.lusitanicum,18.48166667,,
Allium.oleraceum,,,23
Allium.schoenoprasum,20.53666667,8.753333333,32.5
Allium.scorodoprasum,22.68476407,,30
Allium.sphaerocephalon,,5.69,23
Allium.vineale,,,25
Alopecurus.pratensis,,19.92,45
Alyssum.alyssoides,,21.385,11
Anacamptis.pyramidalis,14.1544505,,
Androsace.obtusifolia,16.55,,4
Angelica.sylvestris,28.998864,30.16666667,78.33333333
Antennaria.carpatica,14.57799157,11.375,8.175925926
Antennaria.dioica,12.43292908,14.5051441,4.154411765
Anthemis.arvensis,,49.63,28.5
Anthericum.liliago,20.00766039,18.05,29
Anthoxanthum.odoratum,22.65476318,26.14433448,15.63621795
Anthriscus.sylvestris,26.361485,32.917426,52.52778
Anthyllis.vulneraria,26.85957067,14.98373267,13.56777778
Aphanes.arvensis,,,8.666666667
Aquilegia.vulgaris,,29.41,55
Arabidopsis.thaliana,,,13.66666667
Arabis.ciliata,25.40108204,,9.636904763
Arabis.hirsuta,26.00583177,21.48251793,31.09722222
Arenaria.serpyllifolia,8.066667,19.79,17
Armeria.arenaria,27.07386563,15.25758611,3.0625
Arnica.montana,17.62219869,18.34196009,7.607526882
Arrhenatherum.elatius,23.62689207,31.60628072,47.37259001
Artemisia.absinthium,31.135,41.49,83
Artemisia.campestris,23.61333333,16.305,45
Artemisia.vulgaris,29.66050069,29.41,140
Asperula.cynanchica,11.03547494,27.63,27
Asphodelus.albus,,8.51,53.45
Aster.alpinus,21.93,13.84,4.666666667
Aster.bellidiastrum,21.70880258,26.10498765,5.435064935
Aster.linosyris,,11.44,28
Astragalus.alpinus,42.08786408,24.51,11.7
Astragalus.depressus,36.73514366,,
Astragalus.monspessulanus,21.14380439,,
Astragalus.onobrychis,41.05976304,22.89045688,5.904761905
Astragalus.penduliflorus,,,40
Astrantia.major,25.86617785,24.385,53
Astrantia.minor,24.40316578,37.57273227,10.3
Deschampsia.flexuosa,27.41439629,12.07151928,10.52404256
Bartsia.alpina,27.05083333,16.6095,13.06
Bellis.perennis,23.40301143,27.075,6
Biscutella.laevigata,46.84333333,15.1716691,17.54807693
Blackstonia.perfoliata,16.74333333,,
Blysmus.compressus,,13.99,25
Bothriochloa.ischaemum,18.18043391,,
Botrychium.lunaria,46.19743188,22.96141339,10.72222222
Brachypodium.sylvaticum,,46.575,83
Briza.media,14.56875,23.26543988,12.83006536
Bromus.erectus,17.08133334,17.24086459,22.12313953
Bromus.hordeaceus,26.005471,28.563,47.61263
Bromus.squarrosus,,29.06,43.5
Bromus.sterilis,22.92,33.75833334,38
Bromus.tectorum,20.797071,34.77,26.5
Bunias.orientalis,,23.66333333,77.66666667
Bunium.bulbocastanum,24.82,17.71,41
Buphthalmum.salicifolium,,27.29,35
Bupleurum.falcatum,21.59746806,20.00257414,66.13586957
Bupleurum.ranunculoides,17.24397937,,12.56
Calamagrostis.varia,26.8,22.061,43.61111111
Calluna.vulgaris,15.175,11.26831818,71.82638889
Calystegia.sepium,,36.256,128.75
Campanula.barbata,7.775,21.03144874,14.46
Campanula.cochleariifolia,26.48971558,26.98278329,3.7
Campanula.glomerata,27,25.70625,17.66666667
Campanula.rapunculoides,28.38766972,52.5675,38
Campanula.rapunculus,,42.06,50
Campanula.rhomboidalis,25.9,27.1262901,28.29487179
Campanula.rotundifolia,31.56873906,29.7142467,16.39402174
Campanula.scheuchzeri,21.92979632,20.94301797,12.125
Campanula.thyrsoides,22.40623837,,
Capsella.bursa.pastoris,,35.42666667,13
Cardamine.pratensis,,22.94,25
Carduus.defloratus,24.14065229,15.52211266,28.36111111
Carduus.nutans,34.06,,60
Carex.atrata,20.91518333,16.34345457,10.825
Carex.capillaris,26.53,13.23,10
Carex.caryophyllea,21.07619,15.62597952,9
Carex.curvula,,10.90860623,19.94211618
Carex.davalliana,12.86,11.02,13
Carex.distans,,20.02,20
Carex.divulsa,,,28
Carex.ericetorum,,,14
Carex.ferruginea,13.48,,45
Carex.flacca,14.67073255,14.69,26.69038462
Carex.halleriana,29.36333333,18.33155948,7.12
Carex.hirta,22.699727,17.38763889,45
Carex.hostiana,,16.27,20
Carex.humilis,,18.25,9
Carex.liparocarpos,22.14666667,,14.504
Carex.montana,17.78,20.6625,17
Carex.spicata,,25.09,28
Carex.nigra,22.97546715,21.31311572,20.66125541
Carex.ornithopoda,15.88682612,30.58,7.81730769
Carex.pallescens,17.067412,30.12,33
Carex.panicea,28.68333333,20.705,15
Carex.rupestris,,10.59351263,8.5
Carex.sempervirens,15.32702368,13.74068158,13.55864921
Carex.tomentosa,,18.82,38
Carlina.acaulis,31.78,14.20349562,12.62272727
Carlina.vulgaris,15.781737,19.842655,19.2
Carum.carvi,26.505,19.42882897,24.00989474
Centaurea.jacea,22.0451667,16.88805556,74.5
Centaurea.montana,24.3,24.08666667,35.675
Centaurea.scabiosa,20.08563089,15.9,57.26488095
Cerastium.arvense,25.01025164,19.4887202,10.4005848
Cerastium.brachypetalum,,22.35811038,5.74
Cerastium.fontanum,20.042261,36.035,15
Cerastium.glomeratum,19.456667,21.856,14.66666667
Cerastium.pumilum,,30.94,4.5
Cerastium.semidecandrum,,,6.333333333
Chaerophyllum.aureum,,20.17,67.975
Chaerophyllum.hirsutum,28.78541211,21.75791667,44.66666667
Chaerophyllum.villarsii,37.48583953,48.82640493,36.15
Chenopodium.album,35.308961,26.44303572,48.33333333
Chondrilla.juncea,,7.62,50
Cichorium.intybus,,22.83,63
Cirsium.acaule,32.2,14.21624154,10.65
Cirsium.arvense,22.28333333,15.75458333,86.5
Cirsium.eriophorum,,,130
Cirsium.palustre,19.268113,16.8875,85
Cirsium.spinosissimum,43.97333333,13.04191886,27.375
Cirsium.tuberosum,,11.7,50
Cirsium.vulgare,13.20666667,12.88277778,90
Clinopodium.vulgare,15.59643057,23.6,37.66666667
Coeloglossum.viride,21.13333333,21.75,11
Colchicum.autumnale,18.56,18.98166667,23
Convolvulus.arvensis,36.107552,26.30903846,26.36
Conyza.canadensis,,22.75,53
Coronilla.minima,27.69333333,12.65959748,6.36
Crepis.aurea,26.03574276,39.05045271,5.788461539
Crepis.biennis,17.77164,31.23333333,58
Crepis.bocconi,23.79,,28
Crepis.conyzifolia,18.415,19.91816231,18.4375
Crepis.foetida,18.94,22.207797,15
Crepis.mollis,,,23
Crepis.pyrenaica,26.3,33.89837844,34.04166667
Crepis.vesicaria,24.44745,39.83663211,13
Cruciata.glabra,19.41684961,,20
Cruciata.laevipes,24.08500624,26.45666667,33.12
Cruciata.pedemontana,15.96499284,,
Cuscuta.epithymum,,,50
Cynosurus.cristatus,18.7,23.629,43.8125
Dactylis.glomerata,24.10228173,23.5683557,32.81246261
Dactylorhiza.maculata,25.377642,25.16666667,
Dactylorhiza.majalis,33.86797746,29.93190374,14.56
Danthonia.decumbens,17.552778,16.67125,10
Daucus.carota,20.19260997,20.33916667,39.425
Deschampsia.cespitosa,27.1483673,13.89428571,44
Dianthus.carthusianorum,37.95,16.37868167,25.10961539
Dianthus.deltoides,14.13200565,,
Dianthus.sylvestris,16,5.86,8.8
Dipsacus.fullonum,,13.41,90
Draba.aizoides,21.25333333,17.06333333,4.75
Draba.siliquosa,20.98,,3
Dryas.octopetala,20.54025906,10.53906132,10.72916667
Dryopteris.filix.mas,22.15106606,,75
Echium.vulgare,19.274667,14.45,43.33333333
Epilobium.angustifolium,42.8845799,24.25272208,44.63043478
Epipactis.palustris,27.58982499,21.77,28
Equisetum.arvense,21.214124,10.72666667,33
Equisetum.palustre,19.185482,8,30
Equisetum.telmateia,,16.26,125
Erigeron.acer,22.22685933,17.86,33
Erigeron.alpinus,23.99981022,,14
Erigeron.annuus,21.99333333,27.73,77
Erigeron.glabratus,20.63616435,,15
Erigeron.neglectus,,,8
Erigeron.uniflorus,33.05,18.05,4.75
Erodium.cicutarium,26.90333333,19.971175,8.84
Erophila.verna,,42.48,3.333333333
Eryngium.campestre,21.5877,9.3125,28.25
Erysimum.rhaeticum,26.12,14.64029754,30.372
Erysimum.virgatum,23.55333333,,
Eupatorium.cannabinum,28.53666667,38.96688922,100.0384616
Euphorbia.cyparissias,31.225,22.56625,14.55714286
