,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,jaccard,postprocess,trait,indice,fold,eval_mode,prr,archi,species_loss,func_loss
0,richness,-1.4021638281786064,244.70980203939288,0.33898550940662253,2.4948707228093118e-31,0.3247502220470822,9.486944923893431e-29,,,,richness,2,extrapolation,False,mlp1,bce,msle
1,LNC_cwm,-0.010360943681668733,4.135414026903406,0.34117332149858787,9.73533936689038e-32,0.3553093049807856,1.852528409541614e-34,,,LNC,cwm,2,extrapolation,False,mlp1,bce,msle
2,SLA_cwm,0.43419355853205477,4.738064701794842,0.7087170293896968,1.5974562888474944e-170,0.7115175640746647,1.8453523319204697e-172,,,SLA,cwm,2,extrapolation,False,mlp1,bce,msle
3,PLH_cwm,0.6057368699168929,33.047430001863894,0.8028999291072956,7.325739085830085e-252,0.8206547023639632,2.7915940828416164e-272,,,PLH,cwm,2,extrapolation,False,mlp1,bce,msle
4,LNC_fdis,-0.5035725197464489,3.026908893316298,0.11617202567835518,0.00010254272827922715,0.12931151693630644,1.508941769983144e-05,,,LNC,fdis,2,extrapolation,False,mlp1,bce,msle
5,SLA_fdis,-0.4150092573974349,1.9666284500687852,0.19767632547682185,2.8687569360156683e-11,0.1927238707486935,8.977747188765034e-11,,,SLA,fdis,2,extrapolation,False,mlp1,bce,msle
6,PLH_fdis,0.3351572870506345,17.874459133032467,0.6301840084057946,3.1075910440907617e-124,0.6751343707756531,5.756420988588033e-149,,,PLH,fdis,2,extrapolation,False,mlp1,bce,msle
7,average,-0.1365741190720824,44.214101035196094,,,,,,,,,2,extrapolation,False,mlp1,bce,msle
8,weighted,-0.3547970202775298,,,,,,,,,,2,extrapolation,False,mlp1,bce,msle
9,richness,-375.40339111400357,38344.42857142857,0.20240070523539422,9.394039786326527e-12,0.19581266775157893,4.4225736035758035e-11,0.0860185467818281,opth,,richness,2,extrapolation,False,mlp1,bce,msle
10,LNC_cwm,0.07576072984238613,3.782917447399851,0.3411146533986977,9.985123941519382e-32,0.3512094255069722,1.178140896160052e-33,0.0860185467818281,opth,LNC,cwm,2,extrapolation,False,mlp1,bce,msle
11,SLA_cwm,0.41693889803989426,4.882555276358213,0.6972773880601899,7.643347812826902e-163,0.7024625993883259,2.804769580973829e-166,0.0860185467818281,opth,SLA,cwm,2,extrapolation,False,mlp1,bce,msle
12,PLH_cwm,0.5154442783201473,40.6158224606042,0.7987402199356729,2.2301814196234027e-247,0.8161738284060378,6.415478608960765e-267,0.0860185467818281,opth,PLH,cwm,2,extrapolation,False,mlp1,bce,msle
13,LNC_fdis,-0.34436575092290056,2.706402646960176,0.11349779163132157,0.00014794937264092276,0.11963538034216839,6.304141097971481e-05,0.0860185467818281,opth,LNC,fdis,2,extrapolation,False,mlp1,bce,msle
14,SLA_fdis,-0.47511981080503096,2.050172161081804,0.18745510648237945,2.924357998024892e-10,0.19078848407098095,1.390788047174964e-10,0.0860185467818281,opth,SLA,fdis,2,extrapolation,False,mlp1,bce,msle
15,PLH_fdis,0.1194491713697372,23.673824642052175,0.6201459067537036,2.9534226607935874e-119,0.6705859837123485,2.893434745710721e-146,0.0860185467818281,opth,PLH,fdis,2,extrapolation,False,mlp1,bce,msle
16,average,-53.58504051402276,5488.877180866148,,,,,0.0860185467818281,opth,,,2,extrapolation,False,mlp1,bce,msle
17,weighted,-167.18875144350883,,,,,,0.0860185467818281,opth,,,2,extrapolation,False,mlp1,bce,msle
18,richness,-378.8651591778781,38697.080862533694,0.20238035840249438,9.439872393246514e-12,0.1957922137190445,4.44352827881693e-11,0.08567161496557302,opth_norm,,richness,2,extrapolation,False,mlp1,bce,msle
19,LNC_cwm,0.07641253911139478,3.7802495877495144,0.3406726037456982,1.208307949602154e-31,0.35074516095186176,1.4502105861228723e-33,0.08567161496557302,opth_norm,LNC,cwm,2,extrapolation,False,mlp1,bce,msle
20,SLA_cwm,0.42017410940664,4.85546360744781,0.6974044886286048,6.3089606687121e-163,0.7025292946619528,2.5305963639816377e-166,0.08567161496557302,opth_norm,SLA,cwm,2,extrapolation,False,mlp1,bce,msle
21,PLH_cwm,0.5196334446594048,40.26468340955067,0.7986605804011163,2.7111088051215647e-247,0.8161216506472759,7.392531779967419e-267,0.08567161496557302,opth_norm,PLH,cwm,2,extrapolation,False,mlp1,bce,msle
22,LNC_fdis,-0.3425057457298617,2.702658187556666,0.11388552260169399,0.00014035945202638155,0.119953020608207,6.025041796080688e-05,0.08567161496557302,opth_norm,LNC,fdis,2,extrapolation,False,mlp1,bce,msle
23,SLA_fdis,-0.4721809063788276,2.046087570803409,0.18772423629589743,2.7554208255029763e-10,0.19073191537322048,1.4085988983921958e-10,0.08567161496557302,opth_norm,SLA,fdis,2,extrapolation,False,mlp1,bce,msle
24,PLH_fdis,0.12388844576561664,23.554473662904858,0.6200955749394902,3.124856949240128e-119,0.6705792819818652,2.919834662568957e-146,0.08567161496557302,opth_norm,PLH,fdis,2,extrapolation,False,mlp1,bce,msle
25,average,-54.07710532729197,5539.183496937099,,,,,0.08567161496557302,opth_norm,,,2,extrapolation,False,mlp1,bce,msle
26,weighted,-168.73022453734865,,,,,,0.08567161496557302,opth_norm,,,2,extrapolation,False,mlp1,bce,msle
27,richness,-0.033392034965563866,105.2722371967655,0.3409996590146411,1.0493301777344306e-31,0.3294403146891182,1.3870791752854045e-29,0.18934800275051572,prr,,richness,2,extrapolation,False,mlp1,bce,msle
28,LNC_cwm,-0.592016301251302,6.516133253590809,0.2741693667889164,1.2133440363417489e-20,0.2930437502941163,1.764787051716652e-23,0.18934800275051572,prr,LNC,cwm,2,extrapolation,False,mlp1,bce,msle
29,SLA_cwm,0.2722821931851741,6.093910921889397,0.6780730623610729,9.747154855151024e-151,0.6758444447285913,2.1579940808225633e-149,0.18934800275051572,prr,SLA,cwm,2,extrapolation,False,mlp1,bce,msle
30,PLH_cwm,0.5574466421074699,37.09515296030937,0.7923110412042136,1.1861509820734612e-240,0.8127919283285353,5.719991271503049e-263,0.18934800275051572,prr,PLH,cwm,2,extrapolation,False,mlp1,bce,msle
31,LNC_fdis,-1.0451423370028743,4.117167244460939,0.10092460656523063,0.0007466755436472265,0.10504546380534989,0.0004476548798321475,0.18934800275051572,prr,LNC,fdis,2,extrapolation,False,mlp1,bce,msle
32,SLA_fdis,-1.515171516142265,3.4956717311841,0.1746857378057389,4.4530856161295226e-09,0.16172779377812205,5.789085312994883e-08,0.18934800275051572,prr,SLA,fdis,2,extrapolation,False,mlp1,bce,msle
33,PLH_fdis,0.02820156586513778,26.127038859206795,0.5820296605082961,6.657471803989173e-102,0.6473973292615924,3.2802905352760968e-133,0.18934800275051572,prr,PLH,fdis,2,extrapolation,False,mlp1,bce,msle
34,average,-0.3325416840291747,26.959616023915277,,,,,0.18934800275051572,prr,,,2,extrapolation,False,mlp1,bce,msle
35,weighted,0.17391043576908555,,,,,,0.18934800275051572,prr,,,2,extrapolation,False,mlp1,bce,msle
36,richness,-0.033392034965563866,105.2722371967655,0.3409996590146411,1.0493301777344306e-31,0.3294403146891182,1.3870791752854045e-29,0.17854266895170448,norm_prr,,richness,2,extrapolation,False,mlp1,bce,msle
37,LNC_cwm,-0.7501442390657007,7.16335194921866,0.2757988910266694,7.04006536878009e-21,0.2875839727646024,1.229929366197355e-22,0.17854266895170448,norm_prr,LNC,cwm,2,extrapolation,False,mlp1,bce,msle
38,SLA_cwm,0.24964478247611543,6.283476661618961,0.6760540493661098,1.6145113804787267e-149,0.6690716835211282,2.239170284558335e-145,0.17854266895170448,norm_prr,SLA,cwm,2,extrapolation,False,mlp1,bce,msle
39,PLH_cwm,0.5498297399291956,37.733607389244945,0.7946207005647744,4.848941117397003e-243,0.816113198635631,7.564214175770125e-267,0.17854266895170448,norm_prr,PLH,cwm,2,extrapolation,False,mlp1,bce,msle
