,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,postprocess,jaccard,trait,indice,fold,prr,archi,species_loss,func_loss
0,richness,-0.003464673917308092,99.14156397968875,0.516003342009842,6.90698993101665e-77,0.5038098659713685,8.151499316460074e-73,raw,,,richness,4,False,mlp1,bce,msle
1,LNC_cm,-0.03984444828123124,3.430784938768589,0.3721202424924621,6.060754589554757e-38,0.3530315959025619,4.543435536510654e-34,raw,,LNC,cm,4,False,mlp1,bce,msle
2,SLA_cm,0.6191170513666544,3.7934648939970885,0.8027639877338433,3.6610316706227354e-252,0.8103762104733188,1.1625621462555753e-260,raw,,SLA,cm,4,False,mlp1,bce,msle
3,PLH_cm,0.7060145187059621,26.079717803428732,0.8520174449523864,4.117541284e-315,0.8412596979826085,1.4874966965213345e-299,raw,,PLH,cm,4,False,mlp1,bce,msle
4,LNC_cstd,-0.2784594080831144,1.9877785135890704,0.30472296917307984,2.1765280381328376e-25,0.26777521567023804,9.19515105539024e-20,raw,,LNC,cstd,4,False,mlp1,bce,msle
5,SLA_cstd,-0.17479069904665656,1.6038708260230254,0.37412710374165087,2.2894289301615738e-38,0.3576687495471686,5.497586047063204e-35,raw,,SLA,cstd,4,False,mlp1,bce,msle
6,PLH_cstd,0.39779577683073475,17.70701620330864,0.6572627850173685,7.204274359452912e-139,0.6719726440861077,2.4085377029139891e-147,raw,,PLH,cstd,4,False,mlp1,bce,msle
7,average,0.175195445367863,21.963456736971985,,,,,raw,,,,4,False,mlp1,bce,msle
8,weighted,0.34041659541261676,,,,,,raw,,,,4,False,mlp1,bce,msle
9,richness,-289.8971702252554,28740.424215246636,0.34832246361026176,3.743655778705861e-33,0.3307033566974428,7.311965161584501e-30,opth,0.10837156514797396,,richness,4,False,mlp1,bce,msle
10,LNC_cm,0.014929874733617066,3.250066637352257,0.3888808117625339,1.441298337141463e-41,0.3660901507012065,1.0841590151393398e-36,opth,0.10837156514797396,LNC,cm,4,False,mlp1,bce,msle
11,SLA_cm,0.6174194544164819,3.8103723834442857,0.7986176663653412,1.0899328816119257e-247,0.8115463361063594,5.308220402466702e-262,opth,0.10837156514797396,SLA,cm,4,False,mlp1,bce,msle
12,PLH_cm,0.5777390770005109,37.45914819591929,0.8463716023801663,8.488984704029553e-307,0.8341055430146769,7.749581976125548e-290,opth,0.10837156514797396,PLH,cm,4,False,mlp1,bce,msle
13,LNC_cstd,-0.3066352839277082,2.031587022683163,0.27992721302570406,1.6056591516343535e-21,0.25392353854419686,7.247414800943944e-18,opth,0.10837156514797396,LNC,cstd,4,False,mlp1,bce,msle
14,SLA_cstd,-0.42450356448397075,1.9447887274692433,0.3393937737318652,1.851382241954169e-31,0.33008689770372823,9.448128308877679e-30,opth,0.10837156514797396,SLA,cstd,4,False,mlp1,bce,msle
15,PLH_cstd,0.15487600665484091,24.849749749698184,0.6387329458846329,7.550892571072157e-129,0.650697932022599,3.077186806895749e-135,opth,0.10837156514797396,PLH,cstd,4,False,mlp1,bce,msle
16,average,-41.323334951551665,4116.252846851886,,,,,opth,0.10837156514797396,,,4,False,mlp1,bce,msle
17,weighted,-122.61497096669602,,,,,,opth,0.10837156514797396,,,4,False,mlp1,bce,msle
