,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,jaccard,postprocess,trait,indice,fold,eval_mode,prr,archi,species_loss,func_loss
0,richness,0.9335224874640149,6.772102194664559,0.9675132034174009,0.0,0.9699241359348195,0.0,,,,richness,2,extrapolation,False,mlp1,bce,msle
1,LNC_cwm,0.9350934632126069,0.2656628844838605,0.9672267960411849,0.0,0.9800063465381187,0.0,,,LNC,cwm,2,extrapolation,False,mlp1,bce,msle
2,SLA_cwm,0.9777798946127437,0.18607122381353222,0.9890642389171406,0.0,0.9902824483599849,0.0,,,SLA,cwm,2,extrapolation,False,mlp1,bce,msle
3,PLH_cwm,0.9859682225710555,1.176154063117772,0.9929721556477122,0.0,0.9906786511407667,0.0,,,PLH,cwm,2,extrapolation,False,mlp1,bce,msle
4,LNC_fdis,0.9664702287735374,0.06750027776069989,0.9833588739733474,0.0,0.9876837373047181,0.0,,,LNC,fdis,2,extrapolation,False,mlp1,bce,msle
5,SLA_fdis,0.9594237368941315,0.05639428364465054,0.9795412512581306,0.0,0.9823650443903325,0.0,,,SLA,fdis,2,extrapolation,False,mlp1,bce,msle
6,PLH_fdis,0.972870864650506,0.729373446792923,0.9872918819949884,0.0,0.9865595373989181,0.0,,,PLH,fdis,2,extrapolation,False,mlp1,bce,msle
7,average,0.9615898425969424,1.3218940534682855,,,,,,,,,2,extrapolation,False,mlp1,bce,msle
8,weighted,0.9594948651486592,,,,,,,,,,2,extrapolation,False,mlp1,bce,msle
9,richness,-91.13317781259931,9385.659478885895,0.8036948108013586,9.905167664473355e-253,0.8072086851000951,1.2764139900015145e-256,0.15665971792698477,opth,,richness,2,extrapolation,False,mlp1,bce,msle
10,LNC_cwm,0.8578669413745401,0.5817515492875193,0.9350126727288705,0.0,0.9496842896694844,0.0,0.15665971792698477,opth,LNC,cwm,2,extrapolation,False,mlp1,bce,msle
11,SLA_cwm,0.91721670632649,0.6932275296038588,0.9727848093118313,0.0,0.9725912285423697,0.0,0.15665971792698477,opth,SLA,cwm,2,extrapolation,False,mlp1,bce,msle
12,PLH_cwm,0.9357291974616413,5.387226666623144,0.9854397467495719,0.0,0.9841192003254934,0.0,0.15665971792698477,opth,PLH,cwm,2,extrapolation,False,mlp1,bce,msle
13,LNC_fdis,0.802717928917943,0.39715733535143094,0.9330779807176459,0.0,0.9397627225154072,0.0,0.15665971792698477,opth,LNC,fdis,2,extrapolation,False,mlp1,bce,msle
14,SLA_fdis,0.8056829475080938,0.2700685114010937,0.9082558298857769,0.0,0.9129321602019175,0.0,0.15665971792698477,opth,SLA,fdis,2,extrapolation,False,mlp1,bce,msle
15,PLH_fdis,0.9054937336189829,2.540824112742624,0.9625611854790876,0.0,0.9649006150118674,0.0,0.15665971792698477,opth,PLH,fdis,2,extrapolation,False,mlp1,bce,msle
16,average,-12.27263862248452,1342.2185335129866,,,,,0.15665971792698477,opth,,,2,extrapolation,False,mlp1,bce,msle
17,weighted,-40.12791229922617,,,,,,0.15665971792698477,opth,,,2,extrapolation,False,mlp1,bce,msle
18,richness,-92.87077367147405,9562.669362084456,0.8037043533642656,9.669529780739035e-253,0.8071904928270851,1.3376321297615225e-256,0.15545038052326682,opth_norm,,richness,2,extrapolation,False,mlp1,bce,msle
19,LNC_cwm,0.861915758505565,0.565179713983796,0.9352289396882436,0.0,0.9495357941335142,0.0,0.15545038052326682,opth_norm,LNC,cwm,2,extrapolation,False,mlp1,bce,msle
20,SLA_cwm,0.9176559288254525,0.6895494791858227,0.9726136898811673,0.0,0.9724392602918754,0.0,0.15545038052326682,opth_norm,SLA,cwm,2,extrapolation,False,mlp1,bce,msle
21,PLH_cwm,0.9396775960078956,5.056268951786118,0.9853752702963932,0.0,0.9841321686078013,0.0,0.15545038052326682,opth_norm,PLH,cwm,2,extrapolation,False,mlp1,bce,msle
22,LNC_fdis,0.7937247818487424,0.4152618407777839,0.9330392265937633,0.0,0.9393302477075304,0.0,0.15545038052326682,opth_norm,LNC,fdis,2,extrapolation,False,mlp1,bce,msle
23,SLA_fdis,0.8123561313450302,0.2607938913817194,0.9093784182983697,0.0,0.9139969519183897,0.0,0.15545038052326682,opth_norm,SLA,fdis,2,extrapolation,False,mlp1,bce,msle
24,PLH_fdis,0.906372620626656,2.5171950203344133,0.9626530844900268,0.0,0.9650570133668548,0.0,0.15545038052326682,opth_norm,PLH,fdis,2,extrapolation,False,mlp1,bce,msle
25,average,-12.519867264902103,1367.4533729974153,,,,,0.15545038052326682,opth_norm,,,2,extrapolation,False,mlp1,bce,msle
26,weighted,-40.90115170792683,,,,,,0.15545038052326682,opth_norm,,,2,extrapolation,False,mlp1,bce,msle
27,richness,1.0,0.0,1.0,0.0,1.0,0.0,0.27829425542703984,prr,,richness,2,extrapolation,False,mlp1,bce,msle
28,LNC_cwm,0.5244887095835056,1.9462708575945002,0.8977626611345366,0.0,0.9071405751665602,0.0,0.27829425542703984,prr,LNC,cwm,2,extrapolation,False,mlp1,bce,msle
29,SLA_cwm,0.8371387536631888,1.3638005261247563,0.9518319431662284,0.0,0.9546832686559111,0.0,0.27829425542703984,prr,SLA,cwm,2,extrapolation,False,mlp1,bce,msle
30,PLH_cwm,0.9395713355076618,5.065175786271754,0.9762194284431789,0.0,0.9768934670271566,0.0,0.27829425542703984,prr,PLH,cwm,2,extrapolation,False,mlp1,bce,msle
31,LNC_fdis,0.6205114825311454,0.7639652583113168,0.8896818312473401,0.0,0.889302950864323,0.0,0.27829425542703984,prr,LNC,fdis,2,extrapolation,False,mlp1,bce,msle
32,SLA_fdis,0.3509333145767607,0.902095165011818,0.8672864563352018,0.0,0.8471512289151234,2.2412881799979906e-307,0.27829425542703984,prr,SLA,fdis,2,extrapolation,False,mlp1,bce,msle
33,PLH_fdis,0.6790292939380023,8.629376026330455,0.9218049560076241,0.0,0.9254408929865221,0.0,0.27829425542703984,prr,PLH,fdis,2,extrapolation,False,mlp1,bce,msle
34,average,0.7073818414000377,2.6672405170920856,,,,,0.27829425542703984,prr,,,2,extrapolation,False,mlp1,bce,msle
35,weighted,0.9182711076259737,,,,,,0.27829425542703984,prr,,,2,extrapolation,False,mlp1,bce,msle
36,richness,1.0,0.0,1.0,0.0,1.0,0.0,0.2611492281303602,norm_prr,,richness,2,extrapolation,False,mlp1,bce,msle
37,LNC_cwm,0.42389497600153103,2.3580016746603554,0.8891545580991763,0.0,0.9095953709220101,0.0,0.2611492281303602,norm_prr,LNC,cwm,2,extrapolation,False,mlp1,bce,msle
38,SLA_cwm,0.8171555489279413,1.5311399377072237,0.9474707674750252,0.0,0.9463963969864342,0.0,0.2611492281303602,norm_prr,SLA,cwm,2,extrapolation,False,mlp1,bce,msle
39,PLH_cwm,0.9232344537547031,6.434545415295458,0.9703294357365448,0.0,0.9758429839366632,0.0,0.2611492281303602,norm_prr,PLH,cwm,2,extrapolation,False,mlp1,bce,msle
40,LNC_fdis,0.45368253760405863,1.0998160473025451,0.8887502710792407,0.0,0.8827825333199235,0.0,0.2611492281303602,norm_prr,LNC,fdis,2,extrapolation,False,mlp1,bce,msle
41,SLA_fdis,0.2661231991238445,1.0199671754113064,0.8699326313925856,0.0,0.8603226476442102,0.0,0.2611492281303602,norm_prr,SLA,fdis,2,extrapolation,False,mlp1,bce,msle
42,PLH_fdis,0.7228134115405567,7.452229303474896,0.9220447404885276,0.0,0.9160521524957381,0.0,0.2611492281303602,norm_prr,PLH,fdis,2,extrapolation,False,mlp1,bce,msle
43,average,0.6581291609932336,2.8422427934073977,,,,,0.2611492281303602,norm_prr,,,2,extrapolation,False,mlp1,bce,msle
44,weighted,0.9129087332489615,,,,,,0.2611492281303602,norm_prr,,,2,extrapolation,False,mlp1,bce,msle
