,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,postprocess,jaccard,trait,indice,fold,prr,archi,species_loss,func_loss
0,richness,0.9248422047195498,7.599343888460733,0.9735352743717722,0.0,0.9753393152928976,0.0,raw,,,richness,3,False,mlp1,bce,msle
1,LNC_cm,0.9421988835312356,0.17224358626383005,0.9711274867255987,0.0,0.9722507854570004,0.0,raw,,LNC,cm,3,False,mlp1,bce,msle
2,SLA_cm,0.9764812275259983,0.23225371925182542,0.988447363102525,0.0,0.9891007919379847,0.0,raw,,SLA,cm,3,False,mlp1,bce,msle
3,PLH_cm,0.98527240806849,1.3772291310968359,0.9933083703718788,0.0,0.9937084745239433,0.0,raw,,PLH,cm,3,False,mlp1,bce,msle
4,LNC_cstd,0.962108772630608,0.06026365103304706,0.9811742411205301,0.0,0.9867782870852972,0.0,raw,,LNC,cstd,3,False,mlp1,bce,msle
5,SLA_cstd,0.9611322286068776,0.056357377926802475,0.9807005461872063,0.0,0.982165527976564,0.0,raw,,SLA,cstd,3,False,mlp1,bce,msle
6,PLH_cstd,0.9800017198977846,0.5540585943503007,0.9902178960817918,0.0,0.9921962966688658,0.0,raw,,PLH,cstd,3,False,mlp1,bce,msle
7,average,0.9617196349972206,1.435964278340482,,,,,raw,,,,3,False,mlp1,bce,msle
8,weighted,0.9578058754527247,,,,,,raw,,,,3,False,mlp1,bce,msle
9,richness,-99.30587593875224,10142.112903225807,0.8200955769408421,2.483807023590257e-272,0.8345462954048342,1.1093297317333262e-290,opth,0.18778927508033372,,richness,3,False,mlp1,bce,msle
10,LNC_cm,0.8208526633649414,0.5338474689898272,0.914903857450798,0.0,0.916205279023369,0.0,opth,0.18778927508033372,LNC,cm,3,False,mlp1,bce,msle
11,SLA_cm,0.9391407136977654,0.6010005671142346,0.9750909604813536,0.0,0.9767508682073434,0.0,opth,0.18778927508033372,SLA,cm,3,False,mlp1,bce,msle
12,PLH_cm,0.9463076180770937,5.020964244941731,0.9823857981246641,0.0,0.9854941556121465,0.0,opth,0.18778927508033372,PLH,cm,3,False,mlp1,bce,msle
13,LNC_cstd,0.7766729090894758,0.3551879104272301,0.9183177577850437,0.0,0.9197622595316238,0.0,opth,0.18778927508033372,LNC,cstd,3,False,mlp1,bce,msle
14,SLA_cstd,0.8277638584926909,0.24973845866807964,0.9337162506027703,0.0,0.9244139515986103,0.0,opth,0.18778927508033372,SLA,cstd,3,False,mlp1,bce,msle
15,PLH_cstd,0.8944187117412148,2.9251625571479036,0.969086269796437,0.0,0.9739371752420283,0.0,opth,0.18778927508033372,PLH,cstd,3,False,mlp1,bce,msle
16,average,-13.442959923469866,1450.2569720618708,,,,,opth,0.18778927508033372,,,3,False,mlp1,bce,msle
17,weighted,-41.61409857315631,,,,,,opth,0.18778927508033372,,,3,False,mlp1,bce,msle
