,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,jaccard,postprocess,trait,indice,fold,eval_mode,prr,archi,species_loss,func_loss
0,richness,0.9435614416287293,5.576087620347887,0.9727441656200004,0.0,0.9765251856147825,0.0,,,,richness,4,interpolation,False,mlp1,bce,msle
1,LNC_cwm,0.9535249825622052,0.1533361938106643,0.9770647799926424,0.0,0.9807184839865095,0.0,,,LNC,cwm,4,interpolation,False,mlp1,bce,msle
2,SLA_cwm,0.9813232592212442,0.18601399913729635,0.9907441008398162,0.0,0.9921166206018184,0.0,,,SLA,cwm,4,interpolation,False,mlp1,bce,msle
3,PLH_cwm,0.9899910158653517,0.8879060305347058,0.9950143781217908,0.0,0.9952476417425955,0.0,,,PLH,cwm,4,interpolation,False,mlp1,bce,msle
4,LNC_fdis,0.9654948695206759,0.053649381858926246,0.9828882928043576,0.0,0.9827277341500449,0.0,,,LNC,fdis,4,interpolation,False,mlp1,bce,msle
5,SLA_fdis,0.9656114592918446,0.046948598789617456,0.9831315991778378,0.0,0.9849729944436897,0.0,,,SLA,fdis,4,interpolation,False,mlp1,bce,msle
6,PLH_fdis,0.9812906243639177,0.5501243677741193,0.9906016313846695,0.0,0.9916611499814553,0.0,,,PLH,fdis,4,interpolation,False,mlp1,bce,msle
7,average,0.9686853789219955,1.0648665988933164,,,,,,,,,4,interpolation,False,mlp1,bce,msle
8,weighted,0.968021047636499,,,,,,,,,,4,interpolation,False,mlp1,bce,msle
9,richness,-67.8461543252413,6801.948878923767,0.8307390206933993,2.0065737339308108e-285,0.8285412482987279,1.3528584144773063e-282,0.20977461884685983,opth,,richness,4,interpolation,False,mlp1,bce,msle
10,LNC_cwm,0.8817657679286889,0.39009317528944265,0.9395128455342223,0.0,0.9351552233855833,0.0,0.20977461884685983,opth,LNC,cwm,4,interpolation,False,mlp1,bce,msle
11,SLA_cwm,0.9548122165706605,0.4500549859000318,0.981040839913219,0.0,0.9830553201581339,0.0,0.20977461884685983,opth,SLA,cwm,4,interpolation,False,mlp1,bce,msle
12,PLH_cwm,0.9595658177489998,3.5869528592937243,0.9862022051294395,0.0,0.9867343400444133,0.0,0.20977461884685983,opth,PLH,cwm,4,interpolation,False,mlp1,bce,msle
13,LNC_fdis,0.7714182180427268,0.35540428730063384,0.93188405409395,0.0,0.9359072129675147,0.0,0.20977461884685983,opth,LNC,fdis,4,interpolation,False,mlp1,bce,msle
14,SLA_fdis,0.8581528483814135,0.19365535360480446,0.9376778108250553,0.0,0.9375363866624867,0.0,0.20977461884685983,opth,SLA,fdis,4,interpolation,False,mlp1,bce,msle
15,PLH_fdis,0.9165736467580802,2.4530412305368534,0.9689314735200232,0.0,0.9739605157467571,0.0,0.20977461884685983,opth,PLH,fdis,4,interpolation,False,mlp1,bce,msle
16,average,-8.92912368711582,972.7682972593847,,,,,0.20977461884685983,opth,,,4,interpolation,False,mlp1,bce,msle
17,weighted,-28.2131531509313,,,,,,0.20977461884685983,opth,,,4,interpolation,False,mlp1,bce,msle
18,richness,-67.84284099808886,6801.6215246636775,0.8307658047311186,1.852377619866111e-285,0.8285611769023573,1.2758022090478077e-282,0.209779893718673,opth_norm,,richness,4,interpolation,False,mlp1,bce,msle
19,LNC_cwm,0.8816675987889392,0.3904170672010279,0.939458056001211,0.0,0.9350502424646343,0.0,0.209779893718673,opth_norm,LNC,cwm,4,interpolation,False,mlp1,bce,msle
20,SLA_cwm,0.9548033820301587,0.4501429749249234,0.9810345506177746,0.0,0.9830500914555484,0.0,0.209779893718673,opth_norm,SLA,cwm,4,interpolation,False,mlp1,bce,msle
21,PLH_cwm,0.9595721372717765,3.5863922487154642,0.9862054250835246,0.0,0.9867339764591342,0.0,0.209779893718673,opth_norm,PLH,cwm,4,interpolation,False,mlp1,bce,msle
22,LNC_fdis,0.7714415762314442,0.35536796944387916,0.9318902363640233,0.0,0.935921695781133,0.0,0.209779893718673,opth_norm,LNC,fdis,4,interpolation,False,mlp1,bce,msle
23,SLA_fdis,0.8581358006355061,0.19367862786321693,0.9376781476145039,0.0,0.9375401090832016,0.0,0.209779893718673,opth_norm,SLA,fdis,4,interpolation,False,mlp1,bce,msle
24,PLH_fdis,0.9166157511504164,2.4518032067425284,0.9689625614081356,0.0,0.9739604551492106,0.0,0.209779893718673,opth_norm,PLH,fdis,4,interpolation,False,mlp1,bce,msle
25,average,-8.928657821711516,972.7213323940813,,,,,0.209779893718673,opth_norm,,,4,interpolation,False,mlp1,bce,msle
26,weighted,-28.21174275155182,,,,,,0.209779893718673,opth_norm,,,4,interpolation,False,mlp1,bce,msle
27,richness,1.0,0.0,0.9999999999999999,0.0,1.0,0.0,0.36171180389749186,prr,,richness,4,interpolation,False,mlp1,bce,msle
28,LNC_cwm,0.6454918036753052,1.169637807492378,0.9099550268351482,0.0,0.9112035064025807,0.0,0.36171180389749186,prr,LNC,cwm,4,interpolation,False,mlp1,bce,msle
29,SLA_cwm,0.9164143634899037,0.8324845700789978,0.9696841521554652,0.0,0.9720494942061298,0.0,0.36171180389749186,prr,SLA,cwm,4,interpolation,False,mlp1,bce,msle
30,PLH_cwm,0.947999436197953,4.6130170224977,0.9791177442229699,0.0,0.9815031010188455,0.0,0.36171180389749186,prr,PLH,cwm,4,interpolation,False,mlp1,bce,msle
31,LNC_fdis,0.6225322054707229,0.586895733093445,0.8914346067916173,0.0,0.8857602024539788,0.0,0.36171180389749186,prr,LNC,fdis,4,interpolation,False,mlp1,bce,msle
32,SLA_fdis,0.6051894214451246,0.5390110504477941,0.9107896899290562,0.0,0.8835082071758782,0.0,0.36171180389749186,prr,SLA,fdis,4,interpolation,False,mlp1,bce,msle
33,PLH_fdis,0.7957447178055559,6.005855575695322,0.938042411749183,0.0,0.9467597184700317,0.0,0.36171180389749186,prr,PLH,fdis,4,interpolation,False,mlp1,bce,msle
34,average,0.7904817068692235,1.9638431084722339,,,,,0.36171180389749186,prr,,,4,interpolation,False,mlp1,bce,msle
35,weighted,0.9410239317483606,,,,,,0.36171180389749186,prr,,,4,interpolation,False,mlp1,bce,msle
36,richness,1.0,0.0,0.9999999999999999,0.0,1.0,0.0,0.3542594812184807,norm_prr,,richness,4,interpolation,False,mlp1,bce,msle
37,LNC_cwm,0.5693021446158775,1.4210122656847095,0.9084686205866197,0.0,0.9137567883535809,0.0,0.3542594812184807,norm_prr,LNC,cwm,4,interpolation,False,mlp1,bce,msle
38,SLA_cwm,0.8934980291217518,1.060723482418357,0.9672953289102308,0.0,0.9701732470004126,0.0,0.3542594812184807,norm_prr,SLA,cwm,4,interpolation,False,mlp1,bce,msle
39,PLH_cwm,0.9333906211154916,5.9089782145812055,0.9775575394367857,0.0,0.981157439628309,0.0,0.3542594812184807,norm_prr,PLH,cwm,4,interpolation,False,mlp1,bce,msle
40,LNC_fdis,0.5445292302221911,0.708176578785317,0.89141691253654,0.0,0.8895982606010991,0.0,0.3542594812184807,norm_prr,LNC,fdis,4,interpolation,False,mlp1,bce,msle
41,SLA_fdis,0.5860202510953332,0.5651815615933498,0.9163190911646972,0.0,0.8920814788031338,0.0,0.3542594812184807,norm_prr,SLA,fdis,4,interpolation,False,mlp1,bce,msle
42,PLH_fdis,0.8120197637284639,5.527309443371833,0.946836542095795,0.0,0.953883176483221,0.0,0.3542594812184807,norm_prr,PLH,fdis,4,interpolation,False,mlp1,bce,msle
43,average,0.7626800056998728,2.170197363776396,,,,,0.3542594812184807,norm_prr,,,4,interpolation,False,mlp1,bce,msle
44,weighted,0.9348269180498978,,,,,,0.3542594812184807,norm_prr,,,4,interpolation,False,mlp1,bce,msle
