,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,postprocess,jaccard,trait,indice,fold,prr,archi,species_loss,func_loss
0,richness,0.6613901088324159,33.45440558290435,0.8837121101928274,0.0,0.8766494469395443,0.0,raw,,,richness,4,False,mlp1,bce,msle
1,LNC_cm,0.2569532152224827,2.4515529435472625,0.5384869780935402,7.630588107592293e-85,0.5071349206420487,6.564088213224972e-74,raw,,LNC,cm,4,False,mlp1,bce,msle
2,SLA_cm,0.6959378995851937,3.0283553192845747,0.8348314651752395,8.40721431520151e-291,0.8408806992863345,5.003142467371704e-299,raw,,SLA,cm,4,False,mlp1,bce,msle
3,PLH_cm,0.9102574232293335,7.961145111076564,0.9544288829642554,0.0,0.9510347826343838,0.0,raw,,PLH,cm,4,False,mlp1,bce,msle
4,LNC_cstd,0.46048828061203173,0.838845407877963,0.7100742053931246,9.1699627059702e-172,0.6729506913546985,6.32085291770866e-148,raw,,LNC,cstd,4,False,mlp1,bce,msle
5,SLA_cstd,0.6240980716670327,0.5131962117067291,0.7951890901649568,4.5521609255848965e-244,0.7310461258457591,5.607483787914931e-187,raw,,SLA,cstd,4,False,mlp1,bce,msle
6,PLH_cstd,0.8660760275258864,3.937856725963292,0.931594294314207,0.0,0.9285610096581343,0.0,raw,,PLH,cstd,4,False,mlp1,bce,msle
7,average,0.6393144323820538,7.4550510431943895,,,,,raw,,,,4,False,mlp1,bce,msle
8,weighted,0.7761177574491036,,,,,,raw,,,,4,False,mlp1,bce,msle
9,richness,-163.41393810712242,16243.974887892377,0.7134754511829474,3.8765685935685977e-174,0.7057155790300333,9.007247387232487e-169,opth,0.14246853159591716,,richness,4,False,mlp1,bce,msle
10,LNC_cm,0.26685960477705994,2.4188685433587587,0.5468586584932158,5.796087856596913e-88,0.5305717314633162,5.652246376694953e-82,opth,0.14246853159591716,LNC,cm,4,False,mlp1,bce,msle
11,SLA_cm,0.6833178919152627,3.154046312356418,0.8330115628080537,2.1586902405479398e-288,0.8420362147599975,1.2268725688928673e-300,opth,0.14246853159591716,SLA,cm,4,False,mlp1,bce,msle
12,PLH_cm,0.8758503671548615,11.013426158831743,0.9506915447635209,0.0,0.947048338435304,0.0,opth,0.14246853159591716,PLH,cm,4,False,mlp1,bce,msle
13,LNC_cstd,0.2940336542506312,1.0976529442586396,0.6600620253599272,1.9125454772239169e-140,0.6287452056384761,9.961209148230129e-124,opth,0.14246853159591716,LNC,cstd,4,False,mlp1,bce,msle
14,SLA_cstd,0.44606092559630695,0.7562595801543682,0.7360743975143768,7.68401552014924e-191,0.6836213954915837,2.0588263971096716e-154,opth,0.14246853159591716,SLA,cstd,4,False,mlp1,bce,msle
15,PLH_cstd,0.7929280624226325,6.088675590211466,0.9136322037197899,0.0,0.9176740242223326,0.0,opth,0.14246853159591716,PLH,cstd,4,False,mlp1,bce,msle
16,average,-22.864983943000805,2324.071973860221,,,,,opth,0.14246853159591716,,,4,False,mlp1,bce,msle
17,weighted,-68.7940822058496,,,,,,opth,0.14246853159591716,,,4,False,mlp1,bce,msle
