,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,postprocess,jaccard,trait,indice,fold,prr,archi,species_loss,func_loss
0,richness,-0.12834229992006074,108.8090575318925,0.4360528426950228,5.25943129325136e-53,0.4349225670078734,1.0373535101282574e-52,raw,,,richness,2,False,mlp1,bce,msle
1,LNC_cm,0.038714824789497615,2.9655596040976397,0.42187023594255146,2.200642997180053e-49,0.4070618775383317,8.779574670679532e-46,raw,,LNC,cm,2,False,mlp1,bce,msle
2,SLA_cm,0.6294865165399657,3.808567449764124,0.8112644775853038,6.537607623891087e-262,0.8170945500934971,9.987525796402305e-269,raw,,SLA,cm,2,False,mlp1,bce,msle
3,PLH_cm,0.6890209433594285,29.21452368386351,0.8496507794913066,7.30049938239e-312,0.8369600872982355,6.409062587362655e-294,raw,,PLH,cm,2,False,mlp1,bce,msle
4,LNC_cstd,-0.28097852164631765,2.1312978740719264,0.3234191446056275,1.3768893242087015e-28,0.32353739829913875,1.3124215432177653e-28,raw,,LNC,cstd,2,False,mlp1,bce,msle
5,SLA_cstd,-0.1803751137762719,1.7196883465732429,0.38962179348078685,9.071472897906019e-42,0.38286719558106314,2.8102019099707612e-40,raw,,SLA,cstd,2,False,mlp1,bce,msle
6,PLH_cstd,0.37574684059050534,18.424488356567167,0.6606073970432228,7.044955467161348e-141,0.6680206981923169,3.785812289656271e-145,raw,,PLH,cstd,2,False,mlp1,bce,msle
7,average,0.16332474141953526,23.867597549547156,,,,,raw,,,,2,False,mlp1,bce,msle
8,weighted,0.2931879260882811,,,,,,raw,,,,2,False,mlp1,bce,msle
9,richness,-753.3797113409069,72746.84767025089,0.2601241665010611,1.022630993042239e-18,0.2763523591015364,5.183108760054778e-21,opth,0.07447248511558233,,richness,2,False,mlp1,bce,msle
10,LNC_cm,0.04203481928456798,2.9553174389063885,0.4056397529907859,1.9048205198906368e-45,0.3968171824895913,2.1407355304972935e-43,opth,0.07447248511558233,LNC,cm,2,False,mlp1,bce,msle
11,SLA_cm,0.550176438531288,4.623808446451592,0.7892634897435649,3.496130330313156e-238,0.8071701965494099,2.895391763772887e-257,opth,0.07447248511558233,SLA,cm,2,False,mlp1,bce,msle
12,PLH_cm,0.4894257577206591,47.96523423337973,0.8461472397913401,9.523493860902919e-307,0.8353456494324446,9.516895658110409e-292,opth,0.07447248511558233,PLH,cm,2,False,mlp1,bce,msle
13,LNC_cstd,-0.46952854074868755,2.445008251005207,0.2663811741077785,1.3911990766663256e-19,0.28032855255823824,1.343106385668993e-21,opth,0.07447248511558233,LNC,cstd,2,False,mlp1,bce,msle
14,SLA_cstd,-0.9051446063911486,2.775604924155244,0.3484256911693897,3.350334418583192e-33,0.34907105632330443,2.513787487940556e-33,opth,0.07447248511558233,SLA,cstd,2,False,mlp1,bce,msle
15,PLH_cstd,-0.08527053615821423,32.03116244711841,0.6305855619340215,9.092272452093101e-125,0.6418627962128417,1.3139339764472024e-130,opth,0.07447248511558233,PLH,cstd,2,False,mlp1,bce,msle
16,average,-107.67971685838118,10405.663400855989,,,,,opth,0.07447248511558233,,,2,False,mlp1,bce,msle
17,weighted,-307.15202550312125,,,,,,opth,0.07447248511558233,,,2,False,mlp1,bce,msle
