,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,postprocess,jaccard,trait,indice,fold,prr,archi,species_loss,func_loss
0,richness,-0.7986827278876649,181.8681421461081,0.4382703043492235,1.3770664910929615e-53,0.42234657891339583,1.6737722121732473e-49,raw,,,richness,3,False,mlp1,bce,msle
1,LNC_cm,0.014936000683358097,2.935426965902624,0.4067494124659997,1.0411704921034213e-45,0.39797466339427223,1.1615488715592446e-43,raw,,LNC,cm,3,False,mlp1,bce,msle
2,SLA_cm,0.6107860678114082,3.8435842446860247,0.7984162988141152,1.0751614022849293e-247,0.8007085841569781,3.7311891631433194e-250,raw,,SLA,cm,3,False,mlp1,bce,msle
3,PLH_cm,0.6871147742065055,29.259002398801016,0.8413234639343967,6.551116572155396e-300,0.8338937790014981,8.156068245996559e-290,raw,,PLH,cm,3,False,mlp1,bce,msle
4,LNC_cstd,-0.24388239735315898,1.9783179359556236,0.2986748597691536,1.9777262597257914e-24,0.2966211955125663,4.203265392499605e-24,raw,,LNC,cstd,3,False,mlp1,bce,msle
5,SLA_cstd,-0.06535723964745799,1.5447435865204013,0.41079954127350443,1.1261206124814397e-46,0.39729815629973886,1.6609477024785342e-43,raw,,SLA,cstd,3,False,mlp1,bce,msle
6,PLH_cstd,0.33040595787853033,18.551312006178925,0.6430060342598779,3.256517694415005e-131,0.6692172466797546,7.540342124776098e-146,raw,,PLH,cstd,3,False,mlp1,bce,msle
7,average,0.07647434795593146,34.28293275487896,,,,,raw,,,,3,False,mlp1,bce,msle
8,weighted,-0.00736373204001746,,,,,,raw,,,,3,False,mlp1,bce,msle
9,richness,-862.4688573080688,87306.93548387097,0.24690161678857636,5.82115682922411e-17,0.26088054937857125,8.0578789322062205e-19,opth,0.07003908360077532,,richness,3,False,mlp1,bce,msle
10,LNC_cm,-0.06550693035013988,3.175141694220567,0.38183264221044244,4.721070662982354e-40,0.3663911071684219,8.744089011099139e-37,opth,0.07003908360077532,LNC,cm,3,False,mlp1,bce,msle
11,SLA_cm,0.512078330184425,4.81834766859101,0.7820020067854736,5.739136299870645e-231,0.7895755668236616,1.686977260431925e-238,opth,0.07003908360077532,SLA,cm,3,False,mlp1,bce,msle
12,PLH_cm,0.4913948177318511,47.56146670168472,0.8424858726168815,1.5479863608213522e-301,0.8305623627318062,1.8920927993659143e-285,opth,0.07003908360077532,PLH,cm,3,False,mlp1,bce,msle
13,LNC_cstd,-0.3459653443127946,2.140674542460536,0.2581998246565479,1.868599559027022e-18,0.2696166455624766,4.8562236415643637e-20,opth,0.07003908360077532,LNC,cstd,3,False,mlp1,bce,msle
14,SLA_cstd,-0.6445583945417543,2.3845719896429527,0.3581723081698067,4.0704575811697117e-35,0.3614566924971744,8.891085691357349e-36,opth,0.07003908360077532,SLA,cstd,3,False,mlp1,bce,msle
15,PLH_cstd,-0.23160401853588564,34.12197388067291,0.6155635870980429,2.356385684784571e-117,0.6332993717125334,3.7622778370086936e-126,opth,0.07003908360077532,PLH,cstd,3,False,mlp1,bce,msle
16,average,-123.25043126398474,12485.876808621177,,,,,opth,0.07003908360077532,,,3,False,mlp1,bce,msle
17,weighted,-365.8828320393482,,,,,,opth,0.07003908360077532,,,3,False,mlp1,bce,msle
