,level_0,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,subset,fold
0,0,richness,0.7831285127531971,21.429210746255887,0.9079008555389979,0.0,0.8947354196072229,0.0,train,1
1,1,LNC_cm,-4.506230568587776,17.194472579765158,0.4151792894609542,1.2547769119562552e-139,0.372632149027217,9.615041587456368e-111,train,1
2,2,SLA_cm,-0.2640289544543324,12.692544037097562,0.6942387976374675,0.0,0.6856949122187678,0.0,train,1
3,3,PLH_cm,0.8231427760191922,16.283154570725365,0.9271397589055559,0.0,0.9249212733463762,0.0,train,1
4,4,LNC_cstd,-0.11054122435134706,1.7808160932620487,0.7175764549154555,0.0,0.6765493462692013,0.0,train,1
5,5,SLA_cstd,0.2608440608991419,1.0530724220681262,0.7782880090299021,0.0,0.7249091114374911,0.0,train,1
6,6,PLH_cstd,0.8066935424504788,5.58472143066114,0.9241912298080988,0.0,0.9189984865926387,0.0,train,1
7,7,average,-0.3152845507530637,10.859713125690755,,,,,train,1
8,8,weighted,0.677839303729792,,,,,,train,1
9,9,richness,0.787040693642509,20.797955880245055,0.9034347539479357,0.0,0.8784767048531539,0.0,test,1
10,10,LNC_cm,-4.300525217483812,17.047188918297024,0.41258983253059744,4.1720746443655723e-47,0.39114315734221744,4.14002811780741e-42,test,1
11,11,SLA_cm,-0.1591648224535982,11.955238729273326,0.7204090587910683,3.024780308425338e-179,0.7142798255932975,7.357979538812015e-175,test,1
12,12,PLH_cm,0.8277325482107902,16.62092441138356,0.9318582863130739,0.0,0.9322905392924397,0.0,test,1
13,13,LNC_cstd,-0.06703259728869293,1.7808602036184915,0.7129163687157625,6.710001117631903e-174,0.6678079288456611,5.0399531048111816e-145,test,1
14,14,SLA_cstd,0.1594111964685313,1.1511436464276603,0.7617716596389894,2.9893040965263237e-212,0.7093058390816789,2.196959543063262e-171,test,1
15,15,PLH_cstd,0.8018116541611597,5.740303086604147,0.9222229401765946,0.0,0.9145120514729711,0.0,test,1
16,16,average,-0.27867522067758754,10.727659267978465,,,,,test,1
17,17,weighted,0.6866882822031993,,,,,,test,1
18,18,richness,0.7860191768661755,21.230119727019417,0.9054934565210309,0.0,0.8907505455092813,0.0,train,2
19,19,LNC_cm,-4.366306021770484,17.004626628349985,0.41502549124704624,1.6247209520799793e-139,0.3800059811860992,1.8974366070361687e-115,train,2
20,20,SLA_cm,-0.2511767289513749,12.592666320690425,0.6996359207572815,0.0,0.6902026850972096,0.0,train,2
21,21,PLH_cm,0.8229363084327859,16.470204025567458,0.9286325547882621,0.0,0.9278584452592252,0.0,train,2
22,22,LNC_cstd,-0.11231789568318029,1.785083160711584,0.7145581069465585,0.0,0.6725407730518749,0.0,train,2
23,23,SLA_cstd,0.22515397306655827,1.0812928688318764,0.7731712128918484,0.0,0.7167508452544233,0.0,train,2
24,24,PLH_cstd,0.8076130229376173,5.528526713962153,0.9244326771875212,0.0,0.9184496351406493,0.0,train,2
25,25,average,-0.2982968807288432,10.813217063590415,,,,,train,2
26,26,weighted,0.6808967345928714,,,,,,train,2
27,27,richness,0.7781348255199814,21.395050540983842,0.91106320578713,0.0,0.8916672709935005,0.0,test,2
28,28,LNC_cm,-4.710401076346529,17.61655665968285,0.4141479971414498,1.7494198086219685e-47,0.3682148095760454,3.6725590145575173e-37,test,2
29,29,SLA_cm,-0.1921968481361913,12.25478238233309,0.7054847726229361,9.157772818730122e-169,0.7002031722863157,3.2687947576004667e-165,test,2
30,30,PLH_cm,0.8290471485609818,16.059943653895665,0.9279043662559189,0.0,0.9256017360948368,0.0,test,2
31,31,LNC_cstd,-0.06266258276325853,1.7680628248070265,0.7213366670755497,6.40662684868798e-180,0.6787232645205197,1.5537266317235452e-151,test,2
32,32,SLA_cstd,0.26796095102705153,1.0665075932750867,0.7768895361093249,4.723360080574537e-226,0.7322488608537437,4.631087602564263e-188,test,2
33,33,PLH_cstd,0.7997985061364796,5.908836883012303,0.9217448986391201,0.0,0.9168974419703583,0.0,test,2
34,34,average,-0.3271884394287835,10.867105791141409,,,,,test,2
35,35,weighted,0.6781828767763664,,,,,,test,2
36,36,richness,0.7837752065901427,21.11778926005068,0.9073025928016558,0.0,0.8902808911050162,0.0,train,3
37,37,LNC_cm,-4.335629040396922,17.094409918644676,0.41705530689558445,5.30975096898398e-141,0.38504879759251154,9.767519596173713e-119,train,3
38,38,SLA_cm,-0.21815779638982224,12.43115453481888,0.7018456437810817,0.0,0.6937394241929534,0.0,train,3
39,39,PLH_cm,0.8236886792447682,16.432831714935997,0.9286488581101049,0.0,0.9278008491718469,0.0,train,3
40,40,LNC_cstd,-0.08621348480552982,1.7702179512483178,0.7098600058078528,0.0,0.6677930202823497,0.0,train,3
41,41,SLA_cstd,0.2351482763629722,1.0692830621332303,0.772741751312853,0.0,0.7194106276034316,0.0,train,3
42,42,PLH_cstd,0.8063407241049875,5.683427206781401,0.9238091763329812,0.0,0.9182800860249883,0.0,train,3
43,43,average,-0.28443534789848623,10.79987337837331,,,,,train,3
44,44,weighted,0.680549221633458,,,,,,train,3
45,45,richness,0.7850702878703091,21.731941287349755,0.9051335732853619,0.0,0.8927759785751834,0.0,test,3
46,46,LNC_cm,-4.82136375532462,17.347287239775742,0.40786648228196554,5.655019061212742e-46,0.3519545642232774,6.907644077362108e-34,test,3
