,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,jaccard,postprocess,trait,indice,fold,subset,archi,species_loss,func_loss
0,richness,0.020827660181115926,95.62758008106708,0.32183706553634156,2.609930663210421e-28,0.3406981120595288,9.918530641058918e-32,,raw,,,1,test,sdm,sdm,sdm
1,LNC_cm,0.19998576877916974,2.5729513920550082,0.4527884789036639,1.6603614153703793e-57,0.44316293468748896,6.910177923645282e-55,,raw,LNC,cm,1,test,sdm,sdm,sdm
2,SLA_cm,0.6790148172332906,3.310533941508613,0.8276304803636312,1.098251565583659e-281,0.8293104706949554,7.813255308319931e-284,,raw,SLA,cm,1,test,sdm,sdm,sdm
3,PLH_cm,0.7544103549644492,23.695288250673983,0.872465790598604,0.0,0.8732915733647861,0.0,,raw,PLH,cm,1,test,sdm,sdm,sdm
4,LNC_cstd,-73.24333441474025,123.91092828758057,-0.05142428024609014,0.0859571298942546,-0.09063919912137651,0.0024391220835491036,,raw,LNC,cstd,1,test,sdm,sdm,sdm
5,SLA_cstd,-71.35949359987309,99.09264906488674,0.19601729141942775,3.972284380073765e-11,0.18226103779316458,8.605401470475084e-10,,raw,SLA,cstd,1,test,sdm,sdm,sdm
6,PLH_cstd,-0.5091788113391931,43.71167109902875,0.6645280895118026,4.0275107690466814e-143,0.6989831545714184,2.108221121743495e-164,,raw,PLH,cstd,1,test,sdm,sdm,sdm
7,average,-20.493966889256352,55.988800302400115,,,,,,raw,,,1,test,sdm,sdm,sdm
8,weighted,-0.6352073422474231,,,,,,,raw,,,1,test,sdm,sdm,sdm
9,richness,-318.51686416743837,31204.54211469534,0.1084118647401899,0.00028528229853555835,0.12035068866132884,5.562077855766616e-05,0.11144793313756494,opth,,,1,test,sdm,sdm,sdm
10,LNC_cm,-0.021213848791725942,3.2843585667530935,0.2476280962143032,4.6903122919914617e-17,0.2797906625897613,1.6143959425048932e-21,0.11144793313756494,opth,LNC,cm,1,test,sdm,sdm,sdm
11,SLA_cm,0.46174704631734464,5.551361146719268,0.7868839337649943,8.692254684009751e-236,0.7933911322648147,2.058914602093914e-242,0.11144793313756494,opth,SLA,cm,1,test,sdm,sdm,sdm
12,PLH_cm,0.6011440879042801,38.48291651802123,0.8479636694271087,2.20191701555727e-309,0.8506801235788821,2.1655512776e-313,0.11144793313756494,opth,PLH,cm,1,test,sdm,sdm,sdm
13,LNC_cstd,-0.25261170580920034,2.0905887440838327,0.22290973142143405,4.9478083284953004e-14,0.2278324130268781,1.3175413218705105e-14,0.11144793313756494,opth,LNC,cstd,1,test,sdm,sdm,sdm
14,SLA_cstd,-2.9979914971622876,5.4750461713208916,0.04618063824132061,0.12311461233932718,0.02944869284146421,0.3256610930204811,0.11144793313756494,opth,SLA,cstd,1,test,sdm,sdm,sdm
15,PLH_cstd,-1.0283268917631272,58.74821280812304,0.6005753627547399,2.39971503647937e-110,0.6306861423232906,8.08449380883061e-125,0.11144793313756494,opth,PLH,cstd,1,test,sdm,sdm,sdm
16,average,-45.96487385382044,4474.024942664337,,,,,0.11144793313756494,opth,,,1,test,sdm,sdm,sdm
17,weighted,-129.66824786615786,,,,,,0.11144793313756494,opth,,,1,test,sdm,sdm,sdm
18,richness,-0.021692901359563033,98.52457157002313,0.30776403959527127,6.530929948682541e-26,0.30656104816804597,1.0328600111094318e-25,,raw,,,2,test,sdm,sdm,sdm
19,LNC_cm,0.2025473859985959,2.4601370324334506,0.4551576429515246,3.651968634077747e-58,0.44383619555981757,4.560422480085838e-55,,raw,LNC,cm,2,test,sdm,sdm,sdm
20,SLA_cm,0.6761657777367353,3.328743846280534,0.8249036876992757,3.004376914095356e-278,0.8286017075143729,6.33640037802177e-283,,raw,SLA,cm,2,test,sdm,sdm,sdm
