,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,postprocess,trait,indice,fold,subset,archi,species_loss,func_loss
0,richness,0.020827660181115815,95.6275800810671,0.3218370655363414,2.6099306632106564e-28,0.340698111324171,9.918533793887664e-32,raw,,,1,test,sdm,sdm,sdm
1,LNC_cm,0.11928427340603676,2.832498056049174,0.3766821662167953,6.076964424046846e-39,0.37332685460820214,3.132516410076621e-38,raw,LNC,cm,1,test,sdm,sdm,sdm
2,SLA_cm,0.5002180857717703,5.15458369804944,0.8051768928283378,4.825547792283101e-255,0.8080368814905055,3.0727893033469285e-258,raw,SLA,cm,1,test,sdm,sdm,sdm
3,PLH_cm,0.5497371038842516,43.44282964577561,0.8589452230466099,0.0,0.8605892438264207,0.0,raw,PLH,cm,1,test,sdm,sdm,sdm
4,LNC_cstd,-107.03593653638866,180.31023646998597,-0.057301008109678836,0.05566382574541114,-0.09110991690997033,0.002314464641054778,raw,LNC,cstd,1,test,sdm,sdm,sdm
5,SLA_cstd,-107.68989546190734,148.84528804835224,0.18202422619788444,9.055092058348624e-10,0.16942986708027322,1.2340689226285114e-08,raw,SLA,cstd,1,test,sdm,sdm,sdm
6,PLH_cstd,-2.0819447716656483,89.26507262905243,0.6480667820931003,6.303423631957508e-134,0.6857228654817858,7.327167132347583e-156,raw,PLH,cstd,1,test,sdm,sdm,sdm
7,average,-30.802529949531216,80.7825840897617,,,,,raw,,,1,test,sdm,sdm,sdm
8,weighted,-1.3593339009915444,,,,,,raw,,,1,test,sdm,sdm,sdm
9,richness,-586.3072616310272,57357.39247311828,0.160520244950209,6.990264125471264e-08,0.16689536215015277,2.0404477666775537e-08,opth,,,1,test,sdm,sdm,sdm
10,LNC_cm,-0.05875980141108195,3.4051113075019486,0.22788865521376453,1.297540152186316e-14,0.24580702853125377,8.049628415518124e-17,opth,LNC,cm,1,test,sdm,sdm,sdm
11,SLA_cm,0.1475665781210196,8.791713535442907,0.7516422058110149,1.443807469375807e-203,0.7692111475139141,6.546662710719135e-219,opth,SLA,cm,1,test,sdm,sdm,sdm
12,PLH_cm,0.2824784998523988,69.22880958434662,0.8357749714677737,2.530982518790876e-292,0.8360549574858701,1.0647959339071588e-292,opth,PLH,cm,1,test,sdm,sdm,sdm
13,LNC_cstd,-0.1272958570349061,1.8814386126521556,0.18378844667605815,6.185611600107576e-10,0.18940724901292608,1.792073324269733e-10,opth,LNC,cstd,1,test,sdm,sdm,sdm
14,SLA_cstd,-4.363380207335124,7.344876618759962,0.04128786642743554,0.16810182212568126,0.05532000398748778,0.0646897352997124,opth,SLA,cstd,1,test,sdm,sdm,sdm
15,PLH_cstd,-2.5568041960214716,103.01884310327272,0.3059693317280082,1.2930528436262805e-25,0.2938656796709208,1.1448404311495852e-23,opth,PLH,cstd,1,test,sdm,sdm,sdm
16,average,-84.71192237355093,8221.580466554322,,,,,opth,,,1,test,sdm,sdm,sdm
17,weighted,-239.11925012101594,,,,,,opth,,,1,test,sdm,sdm,sdm
18,richness,-0.02169290135956281,98.52457157002311,0.30776403959527143,6.530929948682577e-26,0.30656339583370457,1.0319386620655278e-25,raw,,,2,test,sdm,sdm,sdm
19,LNC_cm,0.13579404277908658,2.6660707378470314,0.39894316242142713,6.95108514579219e-44,0.38269190013930493,3.0688107481757653e-40,raw,LNC,cm,2,test,sdm,sdm,sdm
20,SLA_cm,0.5168643500356973,4.966228740426285,0.8074062146939014,1.5736523780390162e-257,0.8113094490934106,5.804357089952911e-262,raw,SLA,cm,2,test,sdm,sdm,sdm
21,PLH_cm,0.5485523383173367,42.410664392414674,0.8416061078677302,2.6425594421334997e-300,0.8319879698840983,2.6339006723336414e-287,raw,PLH,cm,2,test,sdm,sdm,sdm
22,LNC_cstd,-108.13036800817406,181.57160124245019,-0.023786031416038644,0.4272932765625307,-0.047508302294813676,0.11269228942422194,raw,LNC,cstd,2,test,sdm,sdm,sdm
